Year	PRODUCTNDID	Category_1
2000	ND00707	Fats_and_Oils
2001	ND00707	Fats_and_Oils
2002	ND00707	Fats_and_Oils
2003	ND00707	Fats_and_Oils
2004	ND01315	Sauces_Soups_Condiments_Dressing
2005	ND01315	Sauces_Soups_Condiments_Dressing
2006	ND01315	Sauces_Soups_Condiments_Dressing
2007	ND01315	Sauces_Soups_Condiments_Dressing
2009	ND01315	Sauces_Soups_Condiments_Dressing
2010	ND01315	Sauces_Soups_Condiments_Dressing
2011	ND01315	Sauces_Soups_Condiments_Dressing
2012	ND01315	Sauces_Soups_Condiments_Dressing
2013	ND01315	Sauces_Soups_Condiments_Dressing
2014	ND01315	Sauces_Soups_Condiments_Dressing
1997	ND01356	Sauces_Soups_Condiments_Dressing
2000	ND01356	Sauces_Soups_Condiments_Dressing
2001	ND01356	Sauces_Soups_Condiments_Dressing
2004	RNFD02603	Fruits
2005	RNFD02603	Fruits
2006	RNFD02603	Fruits
2007	RNFD02603	Fruits
2009	RNFD02603	Fruits
2002	RNFD02603	Fruits
2003	RNFD02603	Fruits
2002	ND01356	Sauces_Soups_Condiments_Dressing
2003	ND01356	Sauces_Soups_Condiments_Dressing
2004	ND01356	Sauces_Soups_Condiments_Dressing
2005	ND01356	Sauces_Soups_Condiments_Dressing
2006	ND01356	Sauces_Soups_Condiments_Dressing
2007	ND01356	Sauces_Soups_Condiments_Dressing
2009	ND01356	Sauces_Soups_Condiments_Dressing
2010	ND01356	Sauces_Soups_Condiments_Dressing
2011	ND01356	Sauces_Soups_Condiments_Dressing
2012	ND01356	Sauces_Soups_Condiments_Dressing
2013	ND01356	Sauces_Soups_Condiments_Dressing
2014	ND01356	Sauces_Soups_Condiments_Dressing
2009	RNFD02623	Vegetables
2010	RNFD02623	Vegetables
2010	ND01684	Vegetables
2011	ND01684	Vegetables
2012	ND01684	Vegetables
2013	ND01684	Vegetables
2014	ND01684	Vegetables
2009	RNFD02626	Meats
2010	RNFD02626	Meats
2015	ND00710	Formulas
2009	ND01623	Vegetables
2010	ND01623	Vegetables
2011	ND01623	Vegetables
2012	ND01623	Vegetables
2013	ND01623	Vegetables
2014	ND01623	Vegetables
2015	ND00755	Fruits
2015	ND00805	Fruits
2004	RNFD02637	Meats
2005	RNFD02637	Meats
2006	RNFD02637	Meats
2007	RNFD02637	Meats
2009	RNFD02637	Meats
2010	RNFD02637	Meats
2014	ND01047	Meats
2012	ND01047	Meats
2013	ND01047	Meats
2002	ND01047	Meats
2003	ND01047	Meats
2011	ND01047	Meats
2004	ND01047	Meats
2005	ND01047	Meats
2006	ND01047	Meats
2007	ND01047	Meats
2009	ND01047	Meats
2010	ND01047	Meats
2004	RNFD02635	Dairy_and_Egg
2005	RNFD02635	Dairy_and_Egg
2006	RNFD02635	Dairy_and_Egg
2007	RNFD02635	Dairy_and_Egg
2009	RNFD02635	Dairy_and_Egg
2010	RNFD02635	Dairy_and_Egg
2011	RNFD02635	Dairy_and_Egg
2012	RNFD02635	Dairy_and_Egg
2014	RNFD02637	Meats
2012	RNFD02637	Meats
2013	RNFD02637	Meats
2004	ND00337	Dairy_and_Egg
2005	ND00337	Dairy_and_Egg
2006	ND00337	Dairy_and_Egg
2007	ND00337	Dairy_and_Egg
2009	ND00337	Dairy_and_Egg
2010	ND00337	Dairy_and_Egg
2011	ND00337	Dairy_and_Egg
2012	ND00337	Dairy_and_Egg
2013	ND00337	Dairy_and_Egg
2014	ND00337	Dairy_and_Egg
2011	RNFD02637	Meats
2010	RNFD02649	Meats
2011	RNFD02649	Meats
2012	RNFD02649	Meats
2013	RNFD02649	Meats
2013	ND00338	Dairy_and_Egg
2014	ND00338	Dairy_and_Egg
2004	ND00338	Dairy_and_Egg
2005	ND00338	Dairy_and_Egg
2006	ND00338	Dairy_and_Egg
2007	ND00338	Dairy_and_Egg
2009	ND00338	Dairy_and_Egg
2010	ND00338	Dairy_and_Egg
2011	ND00338	Dairy_and_Egg
2012	ND00338	Dairy_and_Egg
2015	ND00968	Meats
2004	RNFD02658	Meats
2005	RNFD02658	Meats
2006	RNFD02658	Meats
2007	RNFD02658	Meats
2009	RNFD02658	Meats
2010	RNFD02658	Meats
2009	RNFD02659	Vegetables
2010	RNFD02659	Vegetables
2011	RNFD02659	Vegetables
2012	RNFD02659	Vegetables
2013	RNFD02659	Vegetables
2010	RNFD02662	Meats
2011	RNFD02662	Meats
2012	RNFD02662	Meats
2013	RNFD02662	Meats
2010	ND01670	Vegetables
2011	ND01670	Vegetables
2012	ND01670	Vegetables
2013	ND01670	Vegetables
2014	ND01670	Vegetables
2009	ND00607	Fats_and_Oils
2010	ND00607	Fats_and_Oils
2011	ND00607	Fats_and_Oils
2012	ND00607	Fats_and_Oils
2013	ND00607	Fats_and_Oils
2014	ND00607	Fats_and_Oils
2010	ND01332	Sauces_Soups_Condiments_Dressing
2011	ND01332	Sauces_Soups_Condiments_Dressing
2012	ND01332	Sauces_Soups_Condiments_Dressing
2013	ND01332	Sauces_Soups_Condiments_Dressing
2014	ND01332	Sauces_Soups_Condiments_Dressing
2000	ND01332	Sauces_Soups_Condiments_Dressing
2001	ND01332	Sauces_Soups_Condiments_Dressing
2002	ND01332	Sauces_Soups_Condiments_Dressing
2003	ND01332	Sauces_Soups_Condiments_Dressing
2004	ND01332	Sauces_Soups_Condiments_Dressing
2005	ND01332	Sauces_Soups_Condiments_Dressing
2006	ND01332	Sauces_Soups_Condiments_Dressing
2007	ND01332	Sauces_Soups_Condiments_Dressing
2009	ND01332	Sauces_Soups_Condiments_Dressing
2001	ND01402	Sauces_Soups_Condiments_Dressing
2002	ND01402	Sauces_Soups_Condiments_Dressing
2003	ND01402	Sauces_Soups_Condiments_Dressing
2004	ND01402	Sauces_Soups_Condiments_Dressing
2005	ND01402	Sauces_Soups_Condiments_Dressing
2006	ND01402	Sauces_Soups_Condiments_Dressing
2007	ND01402	Sauces_Soups_Condiments_Dressing
2009	ND01402	Sauces_Soups_Condiments_Dressing
2010	ND01402	Sauces_Soups_Condiments_Dressing
2011	ND01402	Sauces_Soups_Condiments_Dressing
2012	ND01402	Sauces_Soups_Condiments_Dressing
2013	ND01402	Sauces_Soups_Condiments_Dressing
2014	ND01402	Sauces_Soups_Condiments_Dressing
2009	ND01598	Sweets
2013	ND01598	Sweets
2014	ND01598	Sweets
2009	ND00493	Dairy_and_Egg
2010	ND00493	Dairy_and_Egg
2011	ND00493	Dairy_and_Egg
2012	ND00493	Dairy_and_Egg
2013	ND00493	Dairy_and_Egg
2014	ND00493	Dairy_and_Egg
2012	ND00496	Dairy_and_Egg
2013	ND00496	Dairy_and_Egg
2014	ND00496	Dairy_and_Egg
2015	ND01081	Meats
2015	ND01091	Meats
2015	ND01112	Meats
2015	ND01109	Meats
2015	ND01132	Meats
2015	ND01138	Meats
2015	ND01364	Sauces_Soups_Condiments_Dressing
2015	ND01822	Supplement
2015	ND01889	Supplement
2015	ND01888	Supplement
2015	ND01878	Supplement
2015	ND01506	Supplement
2015	ND01866	Supplement
2015	ND01524	Sweets
2015	ND01561	Sweets
2015	ND01603	Sweets
2015	ND01704	Vegetables
2015	ND01731	Vegetables
2015	ND00130	Baby_Foods
2015	ND01834	Supplement
2015	ND10475	Supplement
2007	ND10478	Dairy_and_Egg
2002	RNFD02704	Supplement
2001	RNFD02705	Supplement
2004	RNFD02706	Sauces_Soups_Condiments_Dressing
2015	RNFD02708	Beverages
2007	RNFD02710	Vegetables
2013	RNFD02711	Supplement
2013	RNFD02712	Supplement
2015	RNFD02713	Supplement
2015	RNFD02714	Supplement
2015	RNFD02715	Supplement
2015	RNFD02716	Supplement
2015	RNFD02717	Supplement
2014	RNFD02718	Supplement
2015	RNFD02719	Supplement
2015	RNFD02720	Supplement
2015	RNFD02721	Supplement
2015	RNFD02722	Supplement
2015	RNFD02723	Supplement
2015	RNFD02726	Supplement
2015	RNFD02727	Supplement
2015	RNFD02728	Supplement
2015	RNFD02729	Supplement
2007	RNFD02730	Meats
2015	RNFD02731	Formulas
2015	RNFD02732	Supplement
2015	RNFD02733	Supplement
2015	RNFD02734	Supplement
2015	RNFD02735	Supplement
2015	RNFD02736	Supplement
2015	RNFD02737	Supplement
2006	RNFD02738	Baby_Foods
2006	RNFD02739	Baby_Foods
2006	RNFD02740	Baby_Foods
2006	RNFD02741	Vegetables
2006	RNFD02742	Baby_Foods
2006	RNFD02743	Baby_Foods
2006	RNFD02744	Baby_Foods
2006	RNFD02745	Baby_Foods
2006	RNFD02746	Baby_Foods
2015	RNFD02747	Supplement
2015	RNFD02748	Supplement
2006	RNFD02751	Baby_Foods
2015	RNFD02752	Formulas
2006	RNFD02753	Sauces_Soups_Condiments_Dressing
2006	RNFD02757	Meats
2006	RNFD02758	Grains
2006	RNFD02759	Grains
2006	RNFD02760	Dairy_and_Egg
2015	RNFD02761	Supplement
2015	RNFD02762	Supplement
2007	RNFD02763	Grains
2007	RNFD02764	Nuts_and_Seeds
2007	RNFD02765	Meats
2007	RNFD02766	Vegetables
2007	RNFD02767	Meats
2007	RNFD02768	Meats
2007	RNFD02769	Meats
2015	RNFD02770	Supplement
2007	RNFD02771	Vegetables
2015	RNFD02772	Formulas
2015	RNFD02773	Supplement
2007	RNFD02774	Grains
2015	RNFD02775	Supplement
2015	RNFD02776	Supplement
2015	RNFD02777	Supplement
2015	RNFD02779	Supplement
2015	RNFD02780	Supplement
2015	RNFD02781	Supplement
2015	RNFD02782	Supplement
2004	RNFD02783	Baby_Foods
2004	RNFD02784	Baby_Foods
2015	RNFD02785	Supplement
2006	RNFD02786	Sweets
2006	RNFD02787	Fruits
2006	RNFD02788	Sweets
2006	RNFD02789	Sweets
2006	RNFD02790	Grains
2006	RNFD02791	Dairy_and_Egg
2006	RNFD02792	Sweets
2006	RNFD02793	Dairy_and_Egg
2006	RNFD02794	Sweets
2006	RNFD02795	Sweets
2006	RNFD02796	Sweets
2006	RNFD02797	Grains
2006	RNFD02798	Grains
2006	RNFD02799	Dairy_and_Egg
2015	RNFD02800	Supplement
2015	RNFD02801	Supplement
2015	RNFD02802	Supplement
2006	RNFD02803	Dairy_and_Egg
2006	RNFD02804	Dairy_and_Egg
2015	RNFD02805	Supplement
2015	RNFD02806	Supplement
2004	RNFD02807	Baby_Foods
2004	RNFD02808	Sweets
2004	RNFD02809	Sweets
2015	RNFD02810	Supplement
2004	RNFD02811	Dairy_and_Egg
2004	RNFD02812	Dairy_and_Egg
2015	RNFD02813	Formulas
2004	RNFD02814	Baby_Foods
2004	RNFD02815	Baby_Foods
2004	RNFD02816	Baby_Foods
2004	RNFD02817	Baby_Foods
2004	RNFD02818	Baby_Foods
2004	RNFD02819	Baby_Foods
2015	RNFD02820	Supplement
2004	RNFD02824	Meats
2015	RNFD02825	Supplement
2015	RNFD02827	Supplement
2015	RNFD02828	Supplement
2015	RNFD02829	Supplement
2015	RNFD02830	Supplement
2015	RNFD02831	Supplement
2015	RNFD02832	Supplement
2004	RNFD02833	Baby_Foods
2015	RNFD02834	Supplement
2015	RNFD02835	Supplement
2015	RNFD02837	Supplement
2015	RNFD02838	Supplement
2015	RNFD02839	Supplement
2007	RNFD02841	Dairy_and_Egg
2009	RNFD02842	Dairy_and_Egg
2007	RNFD02843	Dairy_and_Egg
2007	RNFD02844	Dairy_and_Egg
2007	RNFD02847	Dairy_and_Egg
2007	RNFD02849	Dairy_and_Egg
2007	RNFD02851	Dairy_and_Egg
2015	RNFD02853	Supplement
2015	RNFD02854	Supplement
2015	RNFD02855	Beverages
2015	RNFD02856	Sweets
2015	RNFD02857	Supplement
2007	RNFD02858	Dairy_and_Egg
2015	RNFD02859	Supplement
2015	RNFD02860	Supplement
2015	RNFD02862	Supplement
2015	RNFD02863	Supplement
2015	RNFD02864	Supplement
2015	RNFD02865	Supplement
2015	RNFD02868	Sauces_Soups_Condiments_Dressing
2015	RNFD02873	Supplement
2015	RNFD02874	Supplement
2015	RNFD02875	NA
2015	RNFD02876	Beverages
2015	RNFD02877	Supplement
2015	RNFD02878	NA
2015	RNFD02879	NA
2015	RNFD02883	NA
2015	RNFD02884	NA
2015	RNFD02885	NA
2015	RNFD02886	Supplement
2015	RNFD02887	NA
2015	RNFD02889	NA
2015	RNFD02890	NA
2015	RNFD02891	NA
2015	RNFD02892	NA
2015	RNFD02893	NA
2015	RNFD02894	Supplement
2015	RNFD02895	Supplement
2015	RNFD02896	Supplement
2015	RNFD02900	Supplement
2015	RNFD02901	NA
