Year	PRODUCTNDID	Category_1
2013	ND00101	Baby_Foods
2013	RNFD00223	Baby_Foods
2013	RNFD00224	Baby_Foods
2014	ND00158	Baby_Foods
2015	ND00101	Baby_Foods
2011	ND00101	Baby_Foods
2015	ND00104	Baby_Foods
2010	ND00157	Baby_Foods
2011	ND00157	Baby_Foods
2012	ND00157	Baby_Foods
2011	ND00103	Baby_Foods
2010	RNFD00192	Baby_Foods
2011	RNFD00192	Baby_Foods
2012	RNFD00192	Baby_Foods
2012	ND00103	Baby_Foods
2013	ND00103	Baby_Foods
2013	RNFD00192	Baby_Foods
2012	ND00102	Baby_Foods
2013	ND00102	Baby_Foods
2015	ND00107	Baby_Foods
2015	ND00106	Baby_Foods
2015	ND00105	Baby_Foods
2015	ND00108	Baby_Foods
2010	RNFD00227	Baby_Foods
2011	RNFD00227	Baby_Foods
2012	RNFD00227	Baby_Foods
2011	RNFD00224	Baby_Foods
2012	RNFD00224	Baby_Foods
