"","PRODUCTNDID","X203","X204","X205","X207","X208","X209","X210","X211","X212","X213","X214","X221","X255","X257","X262","X263","X268","X269","X287","X291","X301","X303","X304","X305","X306","X307","X309","X312","X313","X315","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X328","X334","X337","X338","X341","X342","X343","X344","X345","X346","X347","X401","X404","X405","X406","X410","X415","X417","X418","X421","X428","X429","X430","X431","X432","X435","X454","X501","X502","X503","X504","X505","X506","X507","X508","X509","X510","X511","X512","X513","X514","X515","X516","X517","X518","X521","X573","X578","X601","X605","X606","X607","X608","X609","X610","X611","X612","X613","X614","X615","X617","X618","X619","X620","X621","X624","X625","X626","X627","X628","X629","X630","X631","X636","X638","X639","X641","X645","X646","X652","X653","X654","X662","X663","X664","X665","X666","X669","X670","X671","X672","X673","X674","X675","X676","X685","X687","X689","X693","X695","X696","X697","X851","X852","X853","X855","X856","X857","X858","X859","CHOdec","CHOdec2"
"11","ND00055",0.75,0.425,11.37,0.38,47,NA,NA,NA,NA,NA,NA,0,87.075,NA,0,0,197,5.7,NA,4.65,0.0165,0.000465,0.015,0.0205,0.1405,0.001,0.00025,7.75e-05,NA,NA,3e-07,0.000625,0,1.5e-06,1.05e-05,8e-06,0.00048,0,NA,NA,0,5e-07,0,8.6e-05,NA,NA,NA,NA,NA,NA,NA,0.02535,2.25e-05,3.3e-05,0.0003935,0.0002095,3.15e-05,1.25e-05,0,0.00795,NA,NA,5.5e-06,0,1.25e-05,1.25e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.0155,0,0,0,0,0,0,0.012,0.003,NA,0.0495,0.1475,0.063,0,0,NA,NA,0,0,0.0025,0,0,0,NA,NA,NA,NA,0.053,0.2105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.37,11.37
"12","ND00056",0.455,0.215,12.88,0.24,49.5,0.015,0.62,3.59,5.425,0,0.035,0,86.215,NA,0,0,208,9.675,0,1.75,0.005,0.000255,0.0045,0.0085,0.0755,0.0015,9.5e-05,4.2e-05,NA,0.0001805,2e-07,0.0010375,0,2e-06,2.25e-05,0,0.000365,0,NA,NA,0,4.5e-06,0,4.9e-05,5e-06,0.00018,1.5e-05,1e-05,0,3.5e-05,0,0.00535,3.15e-05,3.55e-05,0.000251,8.25e-05,3.95e-05,4.5e-06,0,0.0041,NA,0,9.9e-06,0,4.5e-06,4.5e-06,3e-04,0.0025,0.013,0.0145,0.027,0.0115,0.007,0.005,0.0155,0.006,0.0195,0.021,0.007,0.0185,0.0425,0.054,0.0185,0.017,0.0145,NA,0,0,0,0,0.018,0,0,0,0,0,0,0.012,0.003,NA,0.0245,0.05,0.0305,0,0,NA,NA,0.001,0,0,0,0,0,NA,NA,NA,NA,0.0245,0.08,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,12.88,12.88
"13","ND00058",0.465,0.14,9.745,0.455,38.5,0.085,1.915,1.35,3.12,0,0.035,0,89.195,NA,0,0,161.5,6.42,0,2.05,0.017,0.000285,0.0065,0.0175,0.1545,0.03,0.000115,2.2e-05,NA,9e-05,5e-07,0.213275,0,0.0004265,0.0041725,0.001888,0.000595,0,NA,NA,0,4.5e-06,0,0.0003525,1e-05,5e-06,0,3.5e-05,0,0,0,0.0023,4.6e-05,3.7e-05,0.0003645,0.0001365,9e-05,8.5e-06,0,0.0055,NA,0,7.1e-06,0,8.5e-06,8.5e-06,0.00025,0.006,0.0815,0.0345,0.047,0.0465,0.0095,0.035,0.0275,0.019,0.032,0.04,0.018,0.0495,0.092,0.159,0.022,0.025,0.0255,NA,0,0,0,0,0.019,0,0,0,0,0,0,0.018,0.001,NA,0.0035,0.0495,0.002,0,0,NA,NA,5e-04,0,0,0,0,0,NA,NA,NA,NA,0.004,0.0515,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,9.745,9.745
"14","ND00066",0.53000000018,0.28000000009,20.94333333817,0.68666666689,86.666666689,NA,NA,NA,NA,NA,NA,0,77.55999999467,NA,0,0,363.333333427,15.9900000033,NA,1.3000000001,0.001333333332,0.00016999999997,0.021000000009,0.017666666673,0.288000000107,0.001333333333,0.0001633333334,6.700000002e-05,NA,0.000208333333425,8.333333336e-07,0.001391666667,0,2.333333334e-06,2.3000000005e-05,1.8000000009e-05,0.00013333333332,0,NA,NA,0,2.999999997e-06,0,2.2000000002e-05,0,1.333333334e-05,6.66666667e-06,5.333333335e-05,0,0,0,0.0089333333373,3.2000000003e-05,6.333333335e-05,0.000513333333548,0.000259000000109,0.000272333333456,1.5666666673e-05,0,0.0079333333362,NA,0,5.666666667e-07,0,1.5666666673e-05,1.5666666673e-05,0.0001999999999,0.006666666669,0.022666666675,0.022000000008,0.052000000021,0.039333333348,0.006666666669,0.007333333336,0.037000000016,0.007666666669,0.036000000014,0.037000000016,0.05633333336,0.030666666679,0.100000000036,0.115666666716,0.029333333345,0.022666666675,0.031000000012,NA,0,0,0,NA,0.083333333371,0,0,0,0.000666666667,0.001333333334,0.002000000001,0.075666666701,0.003666666668,NA,0.017333333341,0.039333333347,0.021666666676,0,0,NA,NA,0.007333333337,0,0,0,0,0,NA,NA,NA,NA,0.024666666678,0.06066666669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.94333333817,20.94333333817
"15","ND00067",0.615,0.15,13.64,0.36,52.5,0,0.64,4.445,5.625,0,0.095,0,85.235,NA,0,0,219.5,11.105,0.295,1.6,0.0085,0.000295,0.007,0.013,0.148,0.001,5e-05,4.35e-05,NA,4.75e-05,1.5e-07,0.0011625,0,2e-06,2.55e-05,0,0.000115,0,NA,NA,0,4.5e-06,0,5.15e-05,5e-06,2e-05,0,2.5e-05,0,0,0,0.004,2.65e-05,3.15e-05,0.000119,0.00012,3.8e-05,3.5e-06,0,0.00415,NA,0,1.3e-06,0,3.5e-06,3.5e-06,NA,0.0055,0.014,0.013,0.02,0.021,0.006,0.006,0.0145,0.0085,0.016,0.0115,0.009,0.016,0.2985,0.05,0.0145,0.0225,0.0185,NA,0,0,0,0,0.023,0,0,0,0,0,5e-04,0.017,0.005,NA,0.0245,0.0195,0.0145,0,0,NA,NA,5e-04,0,0,0,0,0,NA,NA,NA,NA,0.0245,0.033,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,13.64,13.64
"16","ND00069",0.74,0.255,14.0075,0.5275,55.25,NA,NA,NA,NA,NA,NA,0,84.47,NA,0,0,230.5,9.46,NA,2.125,0.0075,0.00028,0.012,0.0155,0.20525,0.00125,0.000115,6.2e-05,NA,NA,4.5e-07,0.012725,0,2.525e-05,0.0002855,1.1e-05,0.00031,0,NA,NA,0,2.85e-05,0,4.125e-05,NA,NA,NA,NA,NA,NA,NA,0.01105,2.5e-05,4.275e-05,0.0003845,0.00017625,0.000114,9e-06,0,0.0046,NA,NA,1.875e-06,0,9e-06,9e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.03975,0,0,0,0.00025,5e-04,5e-04,0.03525,0.00275,NA,0.0585,0.04525,0.0075,0,0,NA,NA,0.0025,0,0,0,0,0,NA,NA,NA,NA,0.0615,0.0525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0075,14.0075
"17","ND00071",0.455,0.215,12.88,0.24,49.5,0.015,0.62,3.59,5.425,0,0.035,0,86.215,NA,0,0,208,9.675,0,1.75,0.005,0.000255,0.0045,0.0085,0.0755,0.0015,9.5e-05,4.2e-05,NA,0.0001805,2e-07,0.0010375,0,2e-06,2.25e-05,0,0.000365,0,NA,NA,0,4.5e-06,0,4.9e-05,5e-06,0.00018,1.5e-05,1e-05,0,3.5e-05,0,0.00535,3.15e-05,3.55e-05,0.000251,8.25e-05,3.95e-05,4.5e-06,0,0.0041,NA,0,9.9e-06,0,4.5e-06,4.5e-06,3e-04,0.0025,0.013,0.0145,0.027,0.0115,0.007,0.005,0.0155,0.006,0.0195,0.021,0.007,0.0185,0.0425,0.054,0.0185,0.017,0.0145,NA,0,0,0,0,0.018,0,0,0,0,0,0,0.012,0.003,NA,0.0245,0.05,0.0305,0,0,NA,NA,0.001,0,0,0,0,0,NA,NA,NA,NA,0.0245,0.08,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,12.88,12.88
"18","ND00073",0.3,0.2,10.8,0.3,42,NA,NA,NA,NA,NA,NA,0,88.4,NA,0,0,174,6.98,NA,2.8,0.008,0.00024,0.008,0.012,0.13,0.001,8e-05,6.5e-05,1e-06,NA,4e-07,0.000425,0,1e-06,9e-06,0,9e-05,0,NA,NA,0,1e-06,0,3.6e-05,NA,NA,NA,NA,NA,NA,NA,0.0245,1.3e-05,2.8e-05,0.000189,9e-05,8e-06,4e-06,0,0.0036,NA,NA,3.2e-06,0,4e-06,4e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.012,0,0,0,0,0,0,0.008,0.002,NA,0.04,0.046,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.042,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,10.8
"19","ND00074",0.17,0.1,11.27,0.24,42,0,1.13,2.3,5.88,0,0.07,0,88.22,NA,0,0,176,9.39,0,1.1,0.004,0.00023,0.003,0.005,0.074,0.002,3e-05,2.7e-05,NA,2.5e-05,3e-07,0.000725,0,1e-06,1.3e-05,0,0.00016,0,NA,NA,0,9e-06,0,1.8e-05,0,0,0,2e-05,0,0,0,0.001,2.6e-05,3e-05,8.4e-05,4.1e-05,2.7e-05,3e-06,0,0.0022,0,0,5e-07,0,3e-06,3e-06,4e-04,0.002,0.006,0.006,0.01,0.01,0.002,0.002,0.005,0.003,0.008,0.005,0.003,0.006,0.028,0.017,0.006,0.006,0.007,NA,0,0,0,0,0.008,0,0,0,0,0,0,0.007,0.001,NA,0.002,0.012,0.003,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.002,0.014,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,11.27,11.27
"20","ND00077",0.3,0.2,10.8,0.3,42,NA,NA,NA,NA,NA,NA,0,88.4,NA,0,0,174,6.98,NA,2.8,0.008,0.00024,0.008,0.012,0.13,0.001,8e-05,6.5e-05,1e-06,NA,4e-07,0.000425,0,1e-06,9e-06,0,9e-05,0,NA,NA,0,1e-06,0,3.6e-05,NA,NA,NA,NA,NA,NA,NA,0.0245,1.3e-05,2.8e-05,0.000189,9e-05,8e-06,4e-06,0,0.0036,NA,NA,3.2e-06,0,4e-06,4e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.012,0,0,0,0,0,0,0.008,0.002,NA,0.04,0.046,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.042,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,10.8
