"","PRODUCTNDID","X203","X204","X205","X207","X208","X209","X210","X211","X212","X213","X214","X221","X255","X257","X262","X263","X268","X269","X287","X291","X301","X303","X304","X305","X306","X307","X309","X312","X313","X315","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X328","X334","X337","X338","X341","X342","X343","X344","X345","X346","X347","X401","X404","X405","X406","X410","X415","X417","X418","X421","X428","X429","X430","X431","X432","X435","X454","X501","X502","X503","X504","X505","X506","X507","X508","X509","X510","X511","X512","X513","X514","X515","X516","X517","X518","X521","X573","X578","X601","X605","X606","X607","X608","X609","X610","X611","X612","X613","X614","X615","X617","X618","X619","X620","X621","X624","X625","X626","X627","X628","X629","X630","X631","X636","X638","X639","X641","X645","X646","X652","X653","X654","X662","X663","X664","X665","X666","X669","X670","X671","X672","X673","X674","X675","X676","X685","X687","X689","X693","X695","X696","X697","X851","X852","X853","X855","X856","X857","X858","X859","CHOdec","CHOdec2"
"337","ND00919",6.69,10.6,77.66,1.66,430,46.56,22.82,1.04,0.99,0,0,0,3.39,NA,0,0,1799,24.85,0,3.4,0.077,0.00378,0.04,0.185,0.17,0.459,0.00096,0.00017,NA,0.001019,6.3e-06,5e-05,0,0,1e-06,0,0.00151,0,NA,NA,0,0,0,7.7e-05,0.00023,0.00599,0.00154,0.00018,0.00141,0,0,0,0.000265,0.000317,0.004439,0.00042,0.000156,9.1e-05,0,0.0059,NA,NA,1.43e-05,7.2e-05,1.9e-05,0.000142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.055,1.633,0.004,0,0.002,0,0.002,0.01,1.058,0.465,0.034,2.459,4.757,0.622,0.005,0,0.031,0,0.009,0,0.035,0,0.001,0,NA,NA,NA,NA,2.509,5.388,0.004,0.009,0.013,0,0.039,0.001,0.016,NA,NA,0.006,0.001,0.004,0.009,2.42,4.735,0,0.024,0.005,0,0.039,0.016,NA,0,0.599,0,0,NA,0,NA,0,NA,77.66,77.66
"338","ND00920",6.69,10.6,77.66,1.66,430,46.56,22.82,1.04,0.99,0,0,0,3.39,NA,0,0,1799,24.85,0,3.4,0.077,0.00378,0.04,0.185,0.17,0.459,0.00096,0.00017,NA,0.001019,6.3e-06,5e-05,0,0,1e-06,0,0.00151,0,NA,NA,0,0,0,7.7e-05,0.00023,0.00599,0.00154,0.00018,0.00141,0,0,0,0.000265,0.000317,0.004439,0.00042,0.000156,9.1e-05,0,0.0059,NA,NA,1.43e-05,7.2e-05,1.9e-05,0.000142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.055,1.633,0.004,0,0.002,0,0.002,0.01,1.058,0.465,0.034,2.459,4.757,0.622,0.005,0,0.031,0,0.009,0,0.035,0,0.001,0,NA,NA,NA,NA,2.509,5.388,0.004,0.009,0.013,0,0.039,0.001,0.016,NA,NA,0.006,0.001,0.004,0.009,2.42,4.735,0,0.024,0.005,0,0.039,0.016,NA,0,0.599,0,0,NA,0,NA,0,NA,77.66,77.66
"339","ND00926",10.93,22.74,59.42,3.36,489,52.56,0,0.3,0.37,0,3.84,0,3.55,NA,0,0,2044,4.53,0,2.3,0.136,0.00488,0.025,0.2,0.156,0.973,0.00119,0.000125,NA,0.000562,1.35e-05,0.0039,1.1e-05,1.7e-05,6.3e-05,0,0.00219,3e-04,NA,NA,0,1.7e-05,0,3.4e-05,4e-04,0.01046,0.00344,0.00039,0.00107,0.00042,0.00013,0,0.000562,0.000338,0.006113,0.000472,0.00017,0.000152,3.4e-07,0.0087,0,0,9.4e-06,0.000127,2.5e-05,0.000241,0.0397,0.129,0.295,0.424,0.744,0.418,0.194,0.168,0.49,0.34,0.478,0.386,0.245,0.304,0.48,3.034,0.302,1.11,0.521,NA,0,0,0.003,0.542,5.288,0.02,0.013,0.01,0.023,0.031,0.126,3.469,1.406,0.067,5.688,9.358,0.716,0.003,0,0.058,0.008,0.036,0,0,0.001,0.007,0.001,NA,NA,NA,NA,5.744,10.09,0.014,0.026,0.023,0.003,0.445,0.003,0.091,NA,NA,0.017,0.005,0.007,0.033,5.244,9.25,0.004,0,0,0.001,0.451,0.091,NA,0,0.715,0,0.001,NA,NA,NA,0.003,NA,60.155,60.155
"340","ND00932",10.93,22.74,59.42,3.36,489,52.56,0,0.3,0.37,0,3.84,0,3.55,NA,0,0,2044,4.53,0,2.3,0.136,0.00488,0.025,0.2,0.156,0.973,0.00119,0.000125,NA,0.000562,1.35e-05,0.0039,1.1e-05,1.7e-05,6.3e-05,0,0.00219,3e-04,NA,NA,0,1.7e-05,0,3.4e-05,4e-04,0.01046,0.00344,0.00039,0.00107,0.00042,0.00013,0,0.000562,0.000338,0.006113,0.000472,0.00017,0.000152,3.4e-07,0.0087,0,0,9.4e-06,0.000127,2.5e-05,0.000241,0.0397,0.129,0.295,0.424,0.744,0.418,0.194,0.168,0.49,0.34,0.478,0.386,0.245,0.304,0.48,3.034,0.302,1.11,0.521,NA,0,0,0.003,0.542,5.288,0.02,0.013,0.01,0.023,0.031,0.126,3.469,1.406,0.067,5.688,9.358,0.716,0.003,0,0.058,0.008,0.036,0,0,0.001,0.007,0.001,NA,NA,NA,NA,5.744,10.09,0.014,0.026,0.023,0.003,0.445,0.003,0.091,NA,NA,0.017,0.005,0.007,0.033,5.244,9.25,0.004,0,0,0.001,0.451,0.091,NA,0,0.715,0,0.001,NA,NA,NA,0.003,NA,60.155,60.155
"341","ND00933",7.23,23.21,63.51,2.93,492,51.32,6.33,0.64,0.59,0,0.58,NA,3.12,NA,NA,NA,2058,8.14,0,2.3,0.154,0.00447,0.019,0.273,0.119,0.882,0.00061,0.000124,NA,0.00054,4.6e-06,NA,NA,NA,NA,NA,0.00349,NA,NA,NA,NA,NA,NA,NA,3e-04,0.01411,0.00412,0,0,0,0,NA,0.000442,0.000265,0.00488,0.00037,6e-05,7.2e-05,NA,NA,0,1.5e-06,5e-05,5.5e-05,1.7e-05,0.000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,5.45,0,0,0,0.017,0.001,0.046,3.016,2.167,0.075,6.17,9.65,1.232,0,0,0.069,0,0.019,0,0.077,0,0.002,0.004,NA,NA,NA,NA,6.276,10.896,0.005,0.024,0.029,0,0.977,0.001,0.072,NA,NA,0.015,0,0.007,0.019,5.192,9.562,0.001,0.039,0.009,0.003,0.978,0.072,NA,0,1.193,0,0.003,NA,NA,NA,0,NA,63.5475,63.5475
"342","ND00935",5.85,36.01,53.53,3.04,560,46.8,0,0,0,3.19,0,0,1.57,NA,0,0,2343,3.19,0,1.4,0.056,0.00253,0.017,0.133,0.182,0.942,4e-04,3.2e-05,6.6e-06,5.8e-05,8.1e-06,0,0,0,0,0,0.00418,6e-04,NA,NA,1e-07,0,0,2e-06,1e-05,0.00018,1e-05,0.00014,0,0.00018,0,0,0.00016,0.000159,0.004706,0.00098,7.9e-05,5.7e-05,4.8e-07,0.0116,0,5.3e-06,1.3e-06,4.6e-05,1.1e-05,8.9e-05,5e-04,0.072,0.223,0.369,0.777,0.424,0.176,0.076,0.366,0.288,0.423,0.256,0.221,0.315,0.453,1.619,0.152,0.77,0.385,0,0,0,0.007,0.574,5.36,0.025,0.017,0.022,0.053,0.04,0.14,4.03,0.815,0.13,9.802,17.449,0.321,0.001,0,0,0.01,0.059,0,0.112,0,0.005,0,0.276,NA,NA,NA,10.052,17.821,0.012,0.027,0.05,0.005,0.275,0,0.102,NA,0.192,0.012,0,0.008,0.053,9.527,17.143,0.005,0.01,0.01,0.042,0.28,0.294,0,0,0.312,0,0.002,NA,NA,0,0,NA,53.53,53.53
"343","ND00937",6.17,33.36,56.9,2.13,538,51.36,0.27,0,0,0,0,0,1.07,NA,0,0,2250,0.27,0,4,0.138,0.0012,0.072,0.194,0.144,0.514,0.00129,0.000101,5.19e-05,0.000333,7.6e-06,0.001725,0,3e-06,2e-05,2e-06,0.00723,0,NA,NA,0,4.1e-05,0,0.000527,0.00035,0.01784,6e-04,9e-04,0,0,0,0,4.7e-05,7.8e-05,0.000842,0.00019,0.000167,8e-06,0,0.0121,NA,1.68e-05,6.3e-06,0,8e-06,8e-06,1e-04,0.046,0.246,0.235,0.803,0.185,0.137,0.119,0.322,0.266,0.331,0.326,0.2,0.491,0.456,1.23,0.269,0.572,0.312,NA,0,0,0,0.088,4.331,0.001,0,0.01,0.004,0.001,0.012,3.511,0.552,0.119,8.986,16.135,0.278,0.006,0,0.041,0,0.031,0,0.103,0.006,0.002,0,NA,0.021,0.051,0.148,9.134,16.438,0.004,0.02,0.055,0,0.018,0,0.07,NA,NA,0.029,0,0.007,0.031,8.968,16.036,0.002,0.013,0.011,0.006,0.018,0.07,NA,0,0.264,0.006,0,NA,0,NA,0,NA,56.9,56.9
"344","ND00940",8.2,7.99,49.38,2.45,306,38.38,0.6,0.38,0.28,0,2.45,0,31.98,NA,0,0,1279,3.71,0,3.5,0.146,0.00363,0.022,0.206,0.125,0.736,0.00053,0.000104,NA,0.000538,2.23e-05,0,0,0,0,0,0,0,NA,NA,0,0,0,9e-06,0,0.00084,0.00036,0,0.00015,0,0,0,0.000503,0.000282,0.004415,0.000562,5.9e-05,9.4e-05,0,0.0079,0,1e-07,7.2e-06,7.9e-05,1.5e-05,0.000149,0.0053,0.065,0.143,0.182,0.362,0.116,0.093,0.112,0.265,0.159,0.212,0.213,0.117,0.169,0.222,1.774,0.189,0.611,0.263,NA,0,0,0,0.052,2.924,0,0,0,0,0.005,0.034,1.669,1.157,0.024,1.717,2.062,0.226,0,0,0.014,0,0.007,0,0.024,0,0,0,NA,NA,NA,NA,1.751,2.29,0.005,0.008,0.008,0,0.038,0,0.014,NA,NA,0.002,0,0.002,0.007,1.678,2.045,0,0.012,0.003,0,0.038,0.014,NA,0,0.214,0,0,NA,0,NA,0,NA,50.3225,50.3225
"345","ND00941",8.2,7.99,49.38,2.45,306,38.38,0.6,0.38,0.28,0,2.45,0,31.98,NA,0,0,1279,3.71,0,3.5,0.146,0.00363,0.022,0.206,0.125,0.736,0.00053,0.000104,NA,0.000538,2.23e-05,0,0,0,0,0,0,0,NA,NA,0,0,0,9e-06,0,0.00084,0.00036,0,0.00015,0,0,0,0.000503,0.000282,0.004415,0.000562,5.9e-05,9.4e-05,0,0.0079,0,1e-07,7.2e-06,7.9e-05,1.5e-05,0.000149,0.0053,0.065,0.143,0.182,0.362,0.116,0.093,0.112,0.265,0.159,0.212,0.213,0.117,0.169,0.222,1.774,0.189,0.611,0.263,NA,0,0,0,0.052,2.924,0,0,0,0,0.005,0.034,1.669,1.157,0.024,1.717,2.062,0.226,0,0,0.014,0,0.007,0,0.024,0,0,0,NA,NA,NA,NA,1.751,2.29,0.005,0.008,0.008,0,0.038,0,0.014,NA,NA,0.002,0,0.002,0.007,1.678,2.045,0,0.012,0.003,0,0.038,0.014,NA,0,0.214,0,0,NA,0,NA,0,NA,50.3225,50.3225
"346","ND00942",6.41,21.79,63.49,1.9,476,54.94,1,0.1,0.1,0.1,0.1,0,6.4,NA,0,0,1991,1.5,0.1,6.7,0.1,0.00164,0.083,0.233,0.231,0.324,0.00161,0.000113,NA,0.00056,4.8e-06,0.000425,0,1e-06,3e-06,3e-06,0.00069,0,NA,NA,0,1.3e-05,3e-06,0.000106,NA,NA,NA,NA,NA,NA,NA,0,0.000216,8e-05,0.001867,NA,0.000203,6.9e-05,0,0.0299,NA,NA,8.6e-06,2.4e-05,4.6e-05,8.5e-05,4e-04,0.04,0.227,0.22,0.837,0.197,0.18,0.14,0.29,0.223,0.287,0.287,0.167,0.457,0.54,1.257,0.25,0.77,0.367,0,0,0,0,0.172,7.105,0.006,0.004,0.057,0.053,0.342,0.251,5.53,0.757,0.067,6.854,5.182,0.284,0,0,0,0,0.028,0,0.043,0,0.002,0,NA,NA,NA,NA,6.935,5.495,0.008,0.012,0.019,0,0.095,0.001,0.076,NA,NA,0.009,0,0.005,0.028,6.759,5.097,0.001,0.014,0.007,0,0.096,0.076,NA,0,0.27,0,0,NA,NA,NA,0,NA,63.5625,63.5625
"347","ND00948",18.21,27.98,0.35,2.34,332,NA,NA,NA,NA,NA,NA,0,51.12,NA,0,0,1387,0,NA,0,0.011,0.00157,0.014,0.141,0.258,0.813,0.00438,6.9e-05,NA,0,0,0.002025,1.1e-05,1.3e-05,1.5e-05,1.1e-05,0.00024,0.0054,NA,5e-07,5e-07,1.1e-05,1.1e-05,0,0,8e-05,0,9e-05,0,0,0,0,4.8e-05,0.00015,0.0036,0.000515,0.000313,3e-06,2.01e-06,0.0514,NA,NA,1.1e-06,0,3e-06,3e-06,0.0104,0.118,0.805,0.864,1.492,1.607,0.408,0.208,0.752,0.579,0.989,1.209,0.653,1.257,1.768,2.986,1.28,0.921,0.77,0.283,0,0,0.082,1.44,10.905,0,0,0,0,0,0,6.325,3.26,0,11.202,0.568,0,0.045,0,0,0.255,0,0,0.101,0,0,0,NA,NA,NA,NA,12.639,0.663,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.05,NA,0,NA,NA,NA,0.03,0.05,NA,NA,NA,NA,NA,NA,NA,1.835,1.835
"348","ND00950",14.11,26.91,2.42,3,312,NA,NA,NA,NA,NA,NA,NA,53.56,NA,NA,NA,1305,NA,NA,0,0.007,0.00176,0.013,0.105,0.176,1.131,0.0028,7.2e-05,NA,9e-06,1.46e-05,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5e-05,0.00014,0.00319,0.000188,0.00011,4e-06,1.86e-06,NA,NA,NA,NA,0,4e-06,4e-06,NA,0.129,0.533,0.609,1.036,1.081,0.327,0.181,0.508,0.46,0.621,0.871,0.449,1.016,1.381,2.298,1.178,1.016,0.569,NA,NA,NA,0.067,NA,11.44,0,0,0,0.09,0.06,0.88,6.03,3.86,NA,11.44,0.96,0.09,0,0,NA,NA,1.53,0,0,0,0,0,0,NA,NA,NA,12.97,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3425,3.3425
"349","ND00951",13.71333331962,21.29666664537,2.66999999733,3.05333333028,259.666666407,NA,NA,NA,NA,NA,NA,NA,59.51666660715,NA,NA,NA,1086.333332247,NA,NA,0.0999999999,0.012999999987,0.00398333332935,0.016333333317,0.148999999851,0.285333333048,0.957999999042,0.00207999999792,0.000119666666547,NA,NA,1.83666666483e-05,0.0011999999988,1.4333333319e-05,1.4333333319e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0101333333232,0.000110999999889,0.000164333333169,0.003223999996776,NA,0.00022333333311,4.333333329e-06,9.8333333235e-07,NA,NA,NA,NA,0,4.333333329e-06,4.333333329e-06,NA,0.171999999828,0.710333332623,0.780999999219,1.308999998691,1.414666665252,0.452999999547,0.195333333138,0.650999999349,0.584666666082,0.829666665837,1.124999998875,0.539333332794,1.122333332211,1.625333331708,2.693666663973,1.161666665505,0.920999999079,0.718999999281,NA,NA,NA,0.060333333273,NA,8.051333325282,0.000333333333,0,0,0.030333333303,0.025666666641,0.440666666226,4.750666661916,2.588666664078,NA,7.961666658705,1.862999998137,0.114666666552,0.049666666617,0.004999999995,NA,NA,0.824666665842,0,0.064999999935,0,0.002666666664,0.004999999995,NA,NA,NA,NA,8.853999991146,2.082666664584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2858333300475,3.2858333300475
"350","ND00968",33.92,35.09,1.7,5.64,468,NA,NA,NA,NA,NA,NA,0,23.65,NA,0,0,1958,0,NA,0,0.011,0.00095,0.031,0.388,0.499,1.684,0.00306,0.000105,NA,2.2e-05,5.07e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00042,0.0051,NA,4e-07,4e-07,0,0,0,0.00117,0.00052,0,5e-05,1e-05,5e-05,0,0,0.00056,0.000232,0.010457,0.0011,0.000535,0,1.09e-06,0.0895,NA,NA,0,0,0,0,0.0081,0.407,1.504,1.619,2.814,3.041,0.937,0.385,1.421,1.355,1.729,2.203,1.391,1.958,3.198,5.223,1.545,1.382,1.428,0.119,0,0,0.099,0.144,11.964,0,0,0,0,0,0.441,7.635,3.679,0.07,14.342,5.327,0.229,0.168,0.008,0.014,0.006,0.778,0,0.294,0.004,0.006,0.026,NA,NA,NA,NA,15.53,6.112,0.018,0.105,0.002,0.006,0.104,0,0.033,NA,NA,0.047,0,0.224,0.772,14.237,5.247,0.006,0.006,0.105,0.074,0.11,0.033,NA,0,0.223,0.032,0.042,NA,NA,NA,0.049,NA,4.12749999999998,4.12749999999998
"351","ND00976",33.92,35.09,1.7,5.64,468,NA,NA,NA,NA,NA,NA,0,23.65,NA,0,0,1958,0,NA,0,0.011,0.00095,0.031,0.388,0.499,1.684,0.00306,0.000105,NA,2.2e-05,5.07e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00042,0.0051,NA,4e-07,4e-07,0,0,0,0.00117,0.00052,0,5e-05,1e-05,5e-05,0,0,0.00056,0.000232,0.010457,0.0011,0.000535,0,1.09e-06,0.0895,NA,NA,0,0,0,0,0.0081,0.407,1.504,1.619,2.814,3.041,0.937,0.385,1.421,1.355,1.729,2.203,1.391,1.958,3.198,5.223,1.545,1.382,1.428,0.119,0,0,0.099,0.144,11.964,0,0,0,0,0,0.441,7.635,3.679,0.07,14.342,5.327,0.229,0.168,0.008,0.014,0.006,0.778,0,0.294,0.004,0.006,0.026,NA,NA,NA,NA,15.53,6.112,0.018,0.105,0.002,0.006,0.104,0,0.033,NA,NA,0.047,0,0.224,0.772,14.237,5.247,0.006,0.006,0.105,0.074,0.11,0.033,NA,0,0.223,0.032,0.042,NA,NA,NA,0.049,NA,4.12749999999998,4.12749999999998
"352","ND00977",12.62,39.69,1.28,2.17,417,NA,1,0,0,0,0,0,44.24,NA,0,0,1744,1,0,0,0.005,0.00041,0.012,0.144,0.198,0.662,0.00118,4.2e-05,NA,1.1e-05,2.01e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00043,0.0048,NA,4e-07,4e-07,0,0,0,0.00101,0.00065,1e-05,3e-05,2e-05,5e-05,0,0,0.000276,8.1e-05,0.004022,0.000555,0.000266,0,5e-07,0.0478,NA,NA,0,0,0,0,0.0037,0.15,0.555,0.598,1.039,1.123,0.346,0.142,0.524,0.5,0.638,0.813,0.513,0.723,1.181,1.928,0.57,0.51,0.527,0.044,0,0,0.066,0.133,13.296,0,0,0,0,0,0.498,8.558,4.018,0.079,16.119,5.7,0.24,0.119,0.005,0.013,0.007,0.874,0,0.33,0.004,0.006,0.022,NA,NA,NA,NA,17.439,6.454,0.018,0.11,0.002,0.006,0.091,0,0.035,NA,NA,0.048,0,0.246,0.868,16.027,5.617,0.006,0.006,0.103,0.07,0.098,0.035,NA,0,0.234,0.032,0.038,NA,NA,NA,0.044,NA,2.32750000000001,2.32750000000001
"353","ND00987",33.92,35.09,1.7,5.64,468,NA,NA,NA,NA,NA,NA,0,23.65,NA,0,0,1958,0,NA,0,0.011,0.00095,0.031,0.388,0.499,1.684,0.00306,0.000105,NA,2.2e-05,5.07e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00042,0.0051,NA,4e-07,4e-07,0,0,0,0.00117,0.00052,0,5e-05,1e-05,5e-05,0,0,0.00056,0.000232,0.010457,0.0011,0.000535,0,1.09e-06,0.0895,NA,NA,0,0,0,0,0.0081,0.407,1.504,1.619,2.814,3.041,0.937,0.385,1.421,1.355,1.729,2.203,1.391,1.958,3.198,5.223,1.545,1.382,1.428,0.119,0,0,0.099,0.144,11.964,0,0,0,0,0,0.441,7.635,3.679,0.07,14.342,5.327,0.229,0.168,0.008,0.014,0.006,0.778,0,0.294,0.004,0.006,0.026,NA,NA,NA,NA,15.53,6.112,0.018,0.105,0.002,0.006,0.104,0,0.033,NA,NA,0.047,0,0.224,0.772,14.237,5.247,0.006,0.006,0.105,0.074,0.11,0.033,NA,0,0.223,0.032,0.042,NA,NA,NA,0.049,NA,4.12749999999998,4.12749999999998
"354","ND00988",33.92,35.09,1.7,5.64,468,NA,NA,NA,NA,NA,NA,0,23.65,NA,0,0,1958,0,NA,0,0.011,0.00095,0.031,0.388,0.499,1.684,0.00306,0.000105,NA,2.2e-05,5.07e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00042,0.0051,NA,4e-07,4e-07,0,0,0,0.00117,0.00052,0,5e-05,1e-05,5e-05,0,0,0.00056,0.000232,0.010457,0.0011,0.000535,0,1.09e-06,0.0895,NA,NA,0,0,0,0,0.0081,0.407,1.504,1.619,2.814,3.041,0.937,0.385,1.421,1.355,1.729,2.203,1.391,1.958,3.198,5.223,1.545,1.382,1.428,0.119,0,0,0.099,0.144,11.964,0,0,0,0,0,0.441,7.635,3.679,0.07,14.342,5.327,0.229,0.168,0.008,0.014,0.006,0.778,0,0.294,0.004,0.006,0.026,NA,NA,NA,NA,15.53,6.112,0.018,0.105,0.002,0.006,0.104,0,0.033,NA,NA,0.047,0,0.224,0.772,14.237,5.247,0.006,0.006,0.105,0.074,0.11,0.033,NA,0,0.223,0.032,0.042,NA,NA,NA,0.049,NA,4.12749999999998,4.12749999999998
"355","ND00989",33.92,35.09,1.7,5.64,468,NA,NA,NA,NA,NA,NA,0,23.65,NA,0,0,1958,0,NA,0,0.011,0.00095,0.031,0.388,0.499,1.684,0.00306,0.000105,NA,2.2e-05,5.07e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00042,0.0051,NA,4e-07,4e-07,0,0,0,0.00117,0.00052,0,5e-05,1e-05,5e-05,0,0,0.00056,0.000232,0.010457,0.0011,0.000535,0,1.09e-06,0.0895,NA,NA,0,0,0,0,0.0081,0.407,1.504,1.619,2.814,3.041,0.937,0.385,1.421,1.355,1.729,2.203,1.391,1.958,3.198,5.223,1.545,1.382,1.428,0.119,0,0,0.099,0.144,11.964,0,0,0,0,0,0.441,7.635,3.679,0.07,14.342,5.327,0.229,0.168,0.008,0.014,0.006,0.778,0,0.294,0.004,0.006,0.026,NA,NA,NA,NA,15.53,6.112,0.018,0.105,0.002,0.006,0.104,0,0.033,NA,NA,0.047,0,0.224,0.772,14.237,5.247,0.006,0.006,0.105,0.074,0.11,0.033,NA,0,0.223,0.032,0.042,NA,NA,NA,0.049,NA,4.12749999999998,4.12749999999998
"356","ND00993",33.92,35.09,1.7,5.64,468,NA,NA,NA,NA,NA,NA,0,23.65,NA,0,0,1958,0,NA,0,0.011,0.00095,0.031,0.388,0.499,1.684,0.00306,0.000105,NA,2.2e-05,5.07e-05,0.000925,1.1e-05,1.1e-05,0,0,0.00042,0.0051,NA,4e-07,4e-07,0,0,0,0.00117,0.00052,0,5e-05,1e-05,5e-05,0,0,0.00056,0.000232,0.010457,0.0011,0.000535,0,1.09e-06,0.0895,NA,NA,0,0,0,0,0.0081,0.407,1.504,1.619,2.814,3.041,0.937,0.385,1.421,1.355,1.729,2.203,1.391,1.958,3.198,5.223,1.545,1.382,1.428,0.119,0,0,0.099,0.144,11.964,0,0,0,0,0,0.441,7.635,3.679,0.07,14.342,5.327,0.229,0.168,0.008,0.014,0.006,0.778,0,0.294,0.004,0.006,0.026,NA,NA,NA,NA,15.53,6.112,0.018,0.105,0.002,0.006,0.104,0,0.033,NA,NA,0.047,0,0.224,0.772,14.237,5.247,0.006,0.006,0.105,0.074,0.11,0.033,NA,0,0.223,0.032,0.042,NA,NA,NA,0.049,NA,4.12749999999998,4.12749999999998
"357","ND01012",25.69,20.77,0,1.29,297,NA,NA,NA,NA,NA,NA,0,52.75,NA,0,0,1243,0,NA,0,0.022,0.00129,0.024,0.226,0.362,0.073,0.00321,4.4e-05,NA,1.1e-05,3.54e-05,2e-04,2e-06,2e-06,0,0,0.00021,0.0063,NA,5e-07,5e-07,0,0,0,NA,NA,NA,NA,NA,NA,NA,7e-04,0.000706,0.00022,0.004206,0.00052,0.000391,6e-06,5.4e-07,0.0883,NA,0,0,0,6e-06,6e-06,0.0034,0.326,1.173,1.203,2.061,2.31,0.68,0.328,1.025,0.895,1.394,1.597,1.026,1.497,2.383,4.022,1.22,1.032,1.061,NA,0,0,0.094,NA,7.72,0,0,0,0.01,0.01,0.33,4.67,2.5,NA,8.33,1.64,0.07,0.08,0,NA,NA,0.63,0,0.15,0,0,0,NA,NA,NA,NA,9.25,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8275,1.8275
"358","ND01013",25.69,20.77,0,1.29,297,NA,NA,NA,NA,NA,NA,0,52.75,NA,0,0,1243,0,NA,0,0.022,0.00129,0.024,0.226,0.362,0.073,0.00321,4.4e-05,NA,1.1e-05,3.54e-05,2e-04,2e-06,2e-06,0,0,0.00021,0.0063,NA,5e-07,5e-07,0,0,0,NA,NA,NA,NA,NA,NA,NA,7e-04,0.000706,0.00022,0.004206,0.00052,0.000391,6e-06,5.4e-07,0.0883,NA,0,0,0,6e-06,6e-06,0.0034,0.326,1.173,1.203,2.061,2.31,0.68,0.328,1.025,0.895,1.394,1.597,1.026,1.497,2.383,4.022,1.22,1.032,1.061,NA,0,0,0.094,NA,7.72,0,0,0,0.01,0.01,0.33,4.67,2.5,NA,8.33,1.64,0.07,0.08,0,NA,NA,0.63,0,0.15,0,0,0,NA,NA,NA,NA,9.25,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8275,1.8275
"359","ND01020",18.53,27.25,1.42,2.9,325,NA,0.13,0.64,0,0,0.33,0,49.89,NA,0,0,1360,1.09,0,0,0.009,0.0012,0.016,0.149,0.342,0.814,0.00245,7.1e-05,NA,2.2e-05,2.07e-05,0.002325,2.8e-05,2.8e-05,0,0,9e-04,0.0174,0,1.4e-06,1.4e-06,0,0,0,2e-05,5e-05,0,3e-05,0,6e-05,0,0,0.000256,0.000176,0.006119,0.000805,0.000195,1e-06,9.8e-07,0.0623,NA,NA,0,0,1e-06,1e-06,NA,0.185,0.615,0.738,1.361,1.239,0.426,0.237,0.662,0.52,0.876,1.151,0.536,1.147,1.574,2.821,1.264,1.245,0.765,0.427,0,0,0.086,0.12,8.826,0,0,0.001,0.024,0.02,0.322,5.545,2.749,0.067,10.578,4.446,0.146,0.123,0.003,0.009,0.006,0.557,0,0.334,0.002,0.006,0.025,NA,NA,NA,NA,11.541,5.115,0.015,0.072,0.002,0.008,0.084,0,0.027,NA,NA,0.033,0.001,0.247,0.549,10.494,4.385,0.006,0.006,0.058,0.069,0.092,0.027,NA,0,0.139,0.03,0.039,NA,0,NA,0.051,NA,1.42,1.42
