PRODUCTNDID	USDA ID	NDID FOR USDA PRODUCTS	WhatnumberofBP	%OFPRODUCT	
ND00474	1121	ND02094	1	1	
ND00475	1121	ND02094	1	1	
ND00476	1121	ND02094	1	1	
ND00477	1121	ND02094	1	1	
ND00478	1121	ND02094	1	1	
ND00479	1121	ND02094	1	1	
ND00480	1121	ND02094	1	1	
ND00481	1121	ND02094	1	1	
ND00482	1121	ND02094	1	1	
ND00483	1121	ND02094	1	1	
ND00484	1121	ND02094	1	1	
ND00493	1121	ND02094	1	1	
ND00496	1121	ND02094	1	1	
ND00497	1121	ND02094	1	1	
ND00498	1121	ND02094	1	1	
ND00499	1121	ND02094	1	1	
ND00500	1121	ND02094	1	1	
ND00501	1121	ND02094	1	1	
ND00502	1121	ND02094	1	1	
ND00503	1121	ND02094	1	1	
ND00504	1121	ND02094	1	1	
ND00505	1121	ND02094	1	1	
ND00508	1121	ND02094	1	1	
ND00509	1121	ND02094	1	1	
ND00510	1121	ND02094	1	1	
ND00512	1121	ND02094	1	1	
ND00513	1121	ND02094	1	1	
ND00514	1121	ND02094	1	1	
ND00515	1121	ND02094	1	1	
ND00518	1121	ND02094	1	1	
ND00522	1121	ND02094	1	1	
ND00532	1121	ND02094	1	1	
ND00533	1121	ND02094	1	1	
ND00539	1121	ND02094	1	1	
ND00541	1121	ND02094	1	1	
ND00542	1121	ND02094	1	1	
ND00543	1121	ND02094	1	1	
ND00545	1121	ND02094	1	1	
ND00547	1121	ND02094	1	1	
ND00585	1121	ND02094	1	1	
RNFD00527	1121	ND02094	1	1	
RNFD00528	1121	ND02094	1	1	
RNFD00530	1121	ND02094	1	1	
RNFD00531	1121	ND02094	1	1	
RNFD00533	1121	ND02094	1	1	
RNFD00535	1121	ND02094	1	1	
RNFD00536	1121	ND02094	1	1	
RNFD00537	1121	ND02094	1	1	
RNFD00538	1121	ND02094	1	1	
RNFD00539	1121	ND02094	1	1	
RNFD00540	1121	ND02094	1	1	
RNFD02803	1121	ND02094	1	1	
RNFD02811	1121	ND02094	1	1	
RNFD02812	1121	ND02094	1	1	
RNFD02841	1121	ND02094	1	1	
RNFD02842	1121	ND02094	1	1	
RNFD02843	1121	ND02094	1	1	
RNFD02844	1121	ND02094	1	1	
RNFD02847	1121	ND02094	1	1	
RNFD02849	1121	ND02094	1	1	
RNFD02851	1121	ND02094	1	1	
RNFD02858	1121	ND02094	1	1	
RNFD02875	1121	ND02094	1	1	
RNFD02883	1121	ND02094	1	1	
None	1131	ND02100			
ND00601	1145	ND02111	1	1	
ND00605	1145	ND02111	1	1	
ND00606	1145	ND02111	1	1	
ND00607	1145	ND02111	1	1	
RNFD00092	1145	ND02111	1	1	
ND00401	1146	ND02112	3	0.25	
RNFD00052	1146	ND02112	1	1	
RNFD02223	1146	ND02112	1	1	
ND00399	1166	ND02125	3	0.333333333	
None	1178	ND02134			
None	1179	ND02135			
ND00717	1212	ND02159	5	0.2	
ND00719	1212	ND02159	5	0.2	
ND00470	1219	ND02165	1	1	
ND00471	1219	ND02165	1	1	
ND00485	1219	ND02165	1	1	
ND00486	1219	ND02165	1	1	
ND00711	1223	ND02169	5	0.058	
ND00444	1226	ND02172	1	1	
ND00448	1226	ND02172	1	1	
None	1241	ND02184			
None	1254	ND02192			
ND00202	1260	ND02197	3	0.333333333	
ND00334	1270	ND02203	1	1	
ND00338	1270	ND02203	1	1	
ND00341	1270	ND02203	1	1	
ND00379	1271	ND02204	1	1	
ND00401	1271	ND02204	1	0.25	
RNFD02215	1271	ND02204	1	1	
ND01470	2047	ND02232	1	0.333333333	
RNFD01661	2047	ND02232	2	0.2	
ND01315	2048	ND02233	1	1	
ND01462	2050	ND02235	1	1	
ND01465	2050	ND02235	1	1	
RNFD01663	2050	ND02235	1	1	
RNFD01666	2050	ND02235	1	1	
RNFD01675	2050	ND02235	2	0.5	
RNFD01673	2051	ND02236	1	1	
RNFD01674	2051	ND02236	1	1	
RNFD01675	2051	ND02236	1	0.5	
ND01356	2053	ND02238	1	1	
RNFD00100	2069	ND02246	1	1	
ND00101	3002	ND02252	1	1	
ND00104	3002	ND02252	1	1	
ND00152	3002	ND02252	1	0.5	
RNFD00900	3002	ND02252	2	0.333333333	
RNFD01135	3002	ND02252	1	1	
RNFD02738	3002	ND02252	1	0.5	
RNFD02743	3002	ND02252	3	0.333333333	
RNFD02746	3002	ND02252	2	0.333333333	
RNFD02814	3005	ND02254	1	1	
ND00106	3008	ND02256	1	1	
RNFD00243	3008	ND02256	1	0.333333333	
RNFD01144	3008	ND02256	1	0.5	
RNFD02784	3008	ND02256	1	1	
RNFD02807	3008	ND02256	1	0.5	
ND00103	3012	ND02260	1	1	
ND00107	3012	ND02260	1	1	
ND00111	3012	ND02260	1	0.5	
ND00112	3012	ND02260	2	0.5	
ND00117	3012	ND02260	1	0.5	
ND00128	3012	ND02260	1	0.5	
ND00130	3012	ND02260	2	0.5	
ND00131	3012	ND02260	1	0.5	
ND00138	3012	ND02260	2	0.5	
ND00144	3012	ND02260	2	0.5	
RNFD00174	3012	ND02260	1	0.5	
RNFD00201	3012	ND02260	1	0.5	
RNFD00824	3012	ND02260	2	0.5	
RNFD00948	3012	ND02260	1	0.5	
RNFD00969	3012	ND02260	1	0.5	
RNFD01136	3012	ND02260	1	1	
RNFD02739	3012	ND02260	2	0.5	
ND00108	3014	ND02262	1	1	
ND00102	3015	ND02263	1	1	
ND00105	3015	ND02263	1	1	
ND00114	3015	ND02263	2	0.5	
ND00129	3015	ND02263	1	0.333333333	
ND00133	3015	ND02263	1	0.5	
ND00136	3015	ND02263	1	0.5	
ND00147	3015	ND02263	2	0.5	
ND00149	3015	ND02263	1	0.333333333	
RNFD00888	3015	ND02263	2	0.5	
RNFD00947	3015	ND02263	2	0.5	
RNFD01140	3015	ND02263	1	1	
RNFD02742	3015	ND02263	1	0.333333333	
ND00109	3017	ND02265	1	1	
RNFD00859	3019	ND02266	1	1	
ND00110	3021	ND02267	1	1	
ND00116	3053	ND02280	1	1	
ND00150	3054	ND02281	1	1	
ND00132	3089	ND02302	1	0.66	
ND00166	3091	ND02304	1	1	
ND00174	3091	ND02304	1	1	
RNFD00199	3091	ND02304	1	1	
RNFD00870	3091	ND02304	1	1	
RNFD00953	3091	ND02304	1	0.5	
RNFD02698	3091	ND02304	1	1	
RNFD02745	3091	ND02304	1	0.5	
RNFD02816	3091	ND02304	1	1	
RNFD00250	3092	ND02305	1	0.333333333	
RNFD00257	3092	ND02305	3	0.333333333	
RNFD00891	3092	ND02305	1	0.5	
ND00053	3104	ND02311	1	0.5	
ND00114	3104	ND02311	1	0.5	
ND00156	3104	ND02311	1	1	
ND00157	3104	ND02311	1	1	
ND00173	3104	ND02311	1	1	
ND00175	3104	ND02311	1	1	
RNFD00185	3104	ND02311	1	1	
RNFD00186	3104	ND02311	1	1	
RNFD00680	3104	ND02311	1	0.5	
RNFD00946	3104	ND02311	1	1	
RNFD02818	3104	ND02311	1	1	
ND00200	3105	ND02312	1	1	
ND00130	3108	ND02313	1	0.5	
ND00136	3108	ND02313	2	0.5	
ND00162	3108	ND02313	1	1	
ND00191	3108	ND02313	1	0.5	
ND00195	3108	ND02313	1	1	
ND00196	3108	ND02313	1	1	
RNFD00223	3108	ND02313	1	1	
RNFD00227	3108	ND02313	1	1	
RNFD00947	3108	ND02313	1	0.5	
RNFD02703	3108	ND02313	1	1	
RNFD02739	3108	ND02313	1	0.5	
RNFD02819	3108	ND02313	1	1	
ND00203	3109	ND02314	1	1	
ND00141	3120	ND02322	1	0.5	
RNFD00250	3120	ND02322	2	0.333333333	
RNFD00257	3120	ND02322	2	0.333333333	
ND00129	3121	ND02323	2	0.333333333	
ND00169	3121	ND02323	3	0.333333333	
ND00182	3121	ND02323	1	1	
ND00186	3121	ND02323	2	0.333333333	
ND01842	3121	ND02323	1	1	
RNFD00228	3121	ND02323	1	1	
RNFD00262	3121	ND02323	1	1	
RNFD00699	3121	ND02323	1	0.5	
RNFD00911	3121	ND02323	1	1	
RNFD02817	3121	ND02323	1	1	
RNFD00826	3127	ND02325	1	1	
ND00085	3130	ND02328	1	0.5	
ND00127	3130	ND02328	1	0.333333333	
RNFD00219	3130	ND02328	1	1	
RNFD00678	3130	ND02328	2	0.333333333	
RNFD00905	3130	ND02328	1	1	
RNFD00906	3130	ND02328	1	1	
RNFD00935	3130	ND02328	1	0.333333333	
RNFD02695	3130	ND02328	1	0.333333333	
ND00034	3132	ND02330	1	1	
ND00050	3132	ND02330	3	0.333333333	
ND00055	3132	ND02330	1	0.5	
ND00069	3132	ND02330	3	0.25	
ND00073	3132	ND02330	1	1	
ND00077	3132	ND02330	1	1	
ND00086	3132	ND02330	2	0.333333333	
ND00097	3132	ND02330	1	1	
ND00137	3132	ND02330	1	0.333333333	
ND00151	3132	ND02330	1	0.5	
ND00186	3132	ND02330	3	0.333333333	
RNFD00251	3132	ND02330	1	0.5	
RNFD00689	3132	ND02330	1	0.5	
RNFD00712	3132	ND02330	3	0.25	
RNFD00842	3132	ND02330	1	1	
RNFD00907	3132	ND02330	1	1	
RNFD00910	3132	ND02330	1	1	
RNFD00935	3132	ND02330	3	0.333333333	
RNFD00221	3133	ND02331	1	1	
ND00041	3139	ND02336	1	1	
ND00079	3139	ND02336	1	0.5	
RNFD00805	3139	ND02336	1	1	
RNFD00912	3139	ND02336	1	0.5	
RNFD00913	3139	ND02336	1	0.5	
RNFD02696	3139	ND02336	2	0.5	
RNFD00220	3141	ND02338	1	1	
RNFD02742	3181	ND02373	3	0.333333333	
RNFD02746	3181	ND02373	3	0.333333333	
RNFD00929	3245	ND02415	2	0.5	
RNFD02807	3274	ND02421	2	0.5	
ND00176	3283	ND02426	1	1	
RNFD00903	3283	ND02426	1	0.5	
ND00112	3286	ND02427	1	0.5	
ND00113	3286	ND02427	1	0.5	
ND00117	3286	ND02427	2	0.5	
ND00124	3286	ND02427	1	0.5	
ND00132	3286	ND02427	2	0.333333333	
ND00143	3286	ND02427	1	0.5	
ND00144	3286	ND02427	1	0.5	
ND00147	3286	ND02427	1	0.5	
ND00149	3286	ND02427	2	0.333333333	
ND00167	3286	ND02427	1	1	
ND00178	3286	ND02427	1	1	
ND00184	3286	ND02427	1	1	
RNFD00201	3286	ND02427	2	0.5	
RNFD00214	3286	ND02427	1	1	
RNFD00930	3286	ND02427	1	0.5	
RNFD00941	3286	ND02427	1	0.5	
RNFD00969	3286	ND02427	2	0.5	
RNFD01144	3286	ND02427	2	0.5	
RNFD02742	3286	ND02427	2	0.333333333	
RNFD02902	3286	ND02427	1	0.5	
ND00028	3302	ND02436	1	1	
ND00728	3860	ND02498	1	1	
ND00733	3860	ND02498	1	1	
ND00734	3860	ND02498	1	1	
ND00735	3860	ND02498	1	1	
ND00737	3860	ND02498	1	1	
ND00741	3860	ND02498	1	1	
RNFD01901	3860	ND02498	1	1	
RNFD01902	3860	ND02498	1	1	
RNFD00932	3934	ND02513	1	1	
ND00066	3994	ND02560	1	0.666666667	
ND00098	3994	ND02560	1	1	
RNFD00693	3994	ND02560	1	1	
RNFD00711	3994	ND02560	1	1	
RNFD00808	3994	ND02560	1	0.66	
RNFD00155	3997	ND02563	1	1	
ND01295	4025	ND02578	1	1	
ND01298	4025	ND02578	1	1	
ND01299	4025	ND02578	1	1	
ND01301	4025	ND02578	1	1	
ND01352	4025	ND02578	1	1	
ND01297	4026	ND02579	1	1	
ND00693	4042	ND02588	1	1	
RNFD00016	4042	ND02588	1	1	
ND00707	4044	ND02589	1	1	
RNFD02257	4044	ND02589	2	0.333333333	
ND00650	4047	ND02590	1	1	
ND00651	4047	ND02590	1	1	
ND00652	4047	ND02590	1	1	
ND00711	4047	ND02590	3	0.118	
ND00721	4047	ND02590	1	1	
ND00742	4047	ND02590	4	0.24	
ND00668	4053	ND02591	1	1	
ND00670	4053	ND02591	1	1	
ND00671	4053	ND02591	1	1	
ND00672	4053	ND02591	1	1	
ND00673	4053	ND02591	1	1	
ND00674	4053	ND02591	1	1	
ND00675	4053	ND02591	1	1	
ND00678	4053	ND02591	1	1	
ND00680	4053	ND02591	1	1	
ND00682	4053	ND02591	2	0.5	
ND00683	4053	ND02591	1	1	
ND00685	4053	ND02591	1	1	
ND00686	4053	ND02591	1	1	
RNFD00275	4053	ND02591	1	1	
RNFD00276	4053	ND02591	1	1	
RNFD01436	4053	ND02591	1	1	
RNFD02257	4053	ND02591	3	0.333333333	
RNFD02549	4053	ND02591	1	1	
ND00717	4055	ND02592	1	0.2	
ND00719	4055	ND02592	1	0.2	
ND00696	4058	ND02593	1	1	
ND00697	4058	ND02593	1	1	
ND01329	4114	ND02596	1	1	
ND01332	4114	ND02596	1	1	
ND00620	4128	ND02598	1	1	
ND00622	4128	ND02598	1	1	
ND00632	4128	ND02598	1	1	
ND00636	4128	ND02598	1	1	
ND00642	4128	ND02598	1	1	
RNFD00672	4128	ND02598	1	1	
RNFD00673	4128	ND02598	1	1	
RNFD00765	4128	ND02598	1	1	
RNFD01242	4128	ND02598	1	1	
RNFD01534	4128	ND02598	1	1	
RNFD01535	4128	ND02598	1	1	
RNFD02079	4128	ND02598	1	1	
RNFD02254	4128	ND02598	1	1	
RNFD02260	4128	ND02598	1	1	
RNFD02261	4128	ND02598	1	1	
RNFD01118	4506	ND02610	1	1	
ND00716	4510	ND02611	1	1	
ND00694	4511	ND02612	1	1	
ND00695	4511	ND02612	1	1	
ND00711	4511	ND02612	2	0.128	
ND00742	4511	ND02612	2	0.25	
None	4518	ND02618			
ND00708	4528	ND02620	1	1	
ND01324	4539	ND02627	1	1	
None	4581	ND02648			
ND00644	4582	ND02649	1	1	
ND00645	4582	ND02649	1	1	
ND00647	4582	ND02649	1	1	
ND00648	4582	ND02649	1	1	
ND00649	4582	ND02649	1	1	
ND00682	4582	ND02649	1	0.5	
RNFD01434	4582	ND02649	1	1	
RNFD01642	4582	ND02649	1	1	
RNFD02257	4582	ND02649	1	0.333333333	
ND00718	4584	ND02651	1	0.333333333	
None	4585	ND02652			
RNFD02511	4589	ND02656	1	1	
RNFD02782	4589	ND02656	1	1	
ND01506	4594	ND02661	1	1	
ND01826	4594	ND02661	1	1	
ND01866	4594	ND02661	1	1	
None	4609	ND02667			
ND00626	4615	ND02673	1	1	
ND01345	4639	ND02689	1	1	
ND01346	4639	ND02689	1	1	
ND01350	4639	ND02689	1	1	
ND01351	4639	ND02689	1	1	
RNFD02753	4639	ND02689	1	1	
ND00711	4669	ND02718	4	0.108	
ND00717	4669	ND02718	2	0.2	
ND00719	4669	ND02718	2	0.2	
ND00742	4669	ND02718	3	0.24	
RNFD02529	5013	ND02766	1	1	
RNFD01927	5045	ND02798	1	1	
RNFD01935	5060	ND02813	1	1	
None	5063	ND02815			
None	5078	ND02829			
None	5082	ND02833			
None	5098	ND02849			
None	5114	ND02865			
None	5120	ND02871			
ND01214	5165	ND02914	1	1	
None	5220	ND02948			
RNFD01202	5284	ND02954	1	1	
None	5293	ND02958			
ND01194	5305	ND02967	1	1	
RNFD02580	5324	ND02984	1	1	
RNFD02583	5324	ND02984	1	1	
ND01869	5333	ND02987	1	1	
ND01200	5336	ND02990	1	1	
ND01203	5336	ND02990	1	1	
RNFD01201	5336	ND02990	1	1	
RNFD02208	5336	ND02990	1	1	
RNFD02525	5336	ND02990	1	1	
RNFD02744	5336	ND02990	1	1	
RNFD02824	5336	ND02990	1	1	
RNFD02904	5336	ND02990	1	1	
RNFD02768	5674	ND03055	1	1	
RNFD02526	5675	ND03056	1	1	
RNFD02527	5675	ND03056	1	1	
RNFD02518	5747	ND03127	1	1	
RNFD02519	5747	ND03127	1	1	
RNFD02521	5747	ND03127	1	1	
RNFD02522	5747	ND03127	1	1	
None	6026	ND03152			
ND01402	6080	ND03193	1	1	
ND01419	6080	ND03193	1	1	
None	6119	ND03207			
ND01374	6164	ND03228	1	1	
ND01358	6166	ND03230	1	1	
ND01359	6166	ND03230	1	1	
ND01360	6166	ND03230	1	1	
ND01361	6166	ND03230	1	1	
ND01404	6194	ND03249	1	1	
ND01410	6194	ND03249	1	1	
ND01364	6307	ND03298	1	1	
ND01365	6307	ND03298	1	1	
RNFD01486	6307	ND03298	1	1	
None	6583	ND03449			
ND01383	6931	ND03497	1	1	
RNFD00002	6931	ND03497	1	1	
RNFD01785	6931	ND03497	1	1	
None	6967	ND03511			
RNFD01146	6971	ND03515	1	1	
RNFD02432	6984	ND03525	1	1	
ND01071	7007	ND03546	1	1	
RNFD00341	7007	ND03546	1	1	
ND01072	7008	ND03547	1	1	
RNFD00301	7013	ND03550	1	1	
ND01109	7022	ND03559	1	1	
ND01111	7022	ND03559	1	1	
ND01112	7022	ND03559	1	1	
ND01116	7022	ND03559	1	1	
ND01118	7022	ND03559	1	1	
RNFD01826	7022	ND03559	1	1	
RNFD01845	7022	ND03559	1	1	
RNFD01858	7022	ND03559	1	1	
RNFD01863	7022	ND03559	1	1	
RNFD02011	7022	ND03559	1	1	
RNFD02765	7022	ND03559	1	1	
RNFD02878	7022	ND03559	1	1	
ND01081	7028	ND03565	1	1	
ND01091	7028	ND03565	1	1	
ND01092	7028	ND03565	1	1	
ND01166	7028	ND03565	1	1	
RNFD01056	7028	ND03565	1	1	
RNFD01522	7028	ND03565	1	1	
RNFD01829	7028	ND03565	1	1	
RNFD01830	7028	ND03565	1	1	
RNFD01836	7028	ND03565	1	1	
None	7029	ND03566			
RNFD02533	7031	ND03568	1	1	
RNFD00313	7041	ND03577	1	1	
ND01064	13821	ND03579	1	1	
ND01065	13821	ND03579	1	1	
RNFD00298	13821	ND03579	1	1	
RNFD00299	7043	ND03579	1	1	
ND01127	7057	ND03590	1	1	
ND01129	7057	ND03590	1	1	
ND01130	7057	ND03590	1	1	
ND01131	7057	ND03590	1	1	
ND01132	7057	ND03590	1	1	
RNFD00133	7057	ND03590	1	1	
RNFD01214	7057	ND03590	1	1	
RNFD02575	7057	ND03590	1	1	
ND01020	7064	ND03597	1	1	
ND01023	7064	ND03597	1	1	
ND01027	7064	ND03597	1	1	
ND01030	7064	ND03597	1	1	
RNFD00124	7064	ND03597	1	1	
RNFD01282	7064	ND03597	1	1	
RNFD01286	7064	ND03597	1	1	
RNFD01315	7064	ND03597	1	1	
RNFD01317	7064	ND03597	1	1	
RNFD01325	7064	ND03597	1	1	
None	7065	ND03598			
ND01137	7072	ND03605	1	1	
ND01138	7072	ND03605	1	1	
ND01139	7072	ND03605	1	1	
RNFD00291	7072	ND03605	1	1	
RNFD00302	7072	ND03605	1	1	
RNFD01204	7072	ND03605	1	1	
RNFD01834	7072	ND03605	1	1	
ND00950	13357	ND03608	1	1	
ND00951	13357	ND03608	2	0.333333333	
ND00951	7929	ND03608	3	0.333333333	
RNFD02757	7917	ND03608	1	1	
ND00951	7074	ND03608	1	0.333333333	
ND01146	7081	ND03614	1	1	
ND01150	7081	ND03614	1	1	
ND01156	7081	ND03614	1	1	
ND01164	7081	ND03614	1	1	
RNFD02658	7081	ND03614	1	1	
RNFD00139	7083	ND03616	1	1	
RNFD01006	7083	ND03616	1	1	
RNFD01219	7083	ND03616	1	1	
RNFD01565	7083	ND03616	1	1	
RNFD02548	7083	ND03616	1	1	
RNFD02311	7045	ND03702	1	1	
RNFD02312	7045	ND03702	1	1	
RNFD02313	7045	ND03702	1	1	
RNFD02767	7045	ND03702	2	0.5	
RNFD02767	5336	ND03702	1	0.5	
ND01141	7045	ND03703	2	0.5	
ND01141	5336	ND03703	1	0.5	
RNFD00310	7944	ND03738	1	1	
RNFD02442	7954	ND03745	1	1	
ND00948	7956	ND03747	1	1	
RNFD01606	7960	ND03750	1	1	
ND01073	7960	ND03751	1	1	
RNFD01841	7960	ND03751	1	1	
RNFD01595	7961	ND03752	1	1	
ND01102	7962	ND03753	1	1	
None	7972	ND03763			
RNFD01809	7974	ND03764	1	1	
RNFD01849	7974	ND03764	1	1	
ND00878	8013	ND03772	1	1	
RNFD02758	8013	ND03772	1	1	
RNFD02792	8013	ND03772	1	1	
RNFD02798	8013	ND03772	1	1	
ND00889	8019	ND03777	1	1	
ND00137	8037	ND03788	3	0.333333333	
RNFD00413	8087	ND03819	1	1	
None	8091	ND03822			
ND00011	8121	ND03838	1	1	
ND00119	8121	ND03838	3	0.333333333	
ND00123	8121	ND03838	1	0.333333333	
ND00127	8121	ND03838	2	0.333333333	
ND00140	8121	ND03838	3	0.333333333	
ND00145	8121	ND03838	2	0.5	
ND00151	8121	ND03838	2	0.5	
RNFD00197	8121	ND03838	1	0.5	
RNFD00222	8121	ND03838	1	0.5	
RNFD00243	8121	ND03838	3	0.333333333	
RNFD00260	8121	ND03838	2	0.5	
RNFD00896	8121	ND03838	1	0.5	
RNFD02694	8121	ND03838	1	0.5	
RNFD02695	8121	ND03838	2	0.333333333	
RNFD02696	8121	ND03838	1	0.5	
RNFD02833	8121	ND03838	1	1	
RNFD02167	8122	ND03839	1	1	
ND00148	8133	ND03846	1	1	
ND00875	8244	ND03893	1	1	
RNFD00222	8508	ND03978	2	0.5	
RNFD00251	8508	ND03978	2	0.5	
RNFD00856	9011	ND04125	1	1	
ND00228	9016	ND04130	1	1	
RNFD01330	9016	ND04130	1	1	
RNFD02002	9016	ND04130	1	1	
None	9017	ND04131			
ND00032	9019	ND04133	1	1	
ND00050	9019	ND04133	2	0.333333333	
ND00053	9019	ND04133	2	0.5	
ND00056	9019	ND04133	1	0.5	
ND00058	9019	ND04133	1	0.5	
ND00066	9019	ND04133	2	0.333333333	
ND00067	9019	ND04133	2	0.5	
ND00069	9019	ND04133	2	0.25	
ND00071	9019	ND04133	1	0.5	
ND00074	9019	ND04133	1	1	
ND00079	9019	ND04133	2	0.5	
ND00086	9019	ND04133	1	0.333333333	
ND00123	9019	ND04133	3	0.333333333	
ND00140	9019	ND04133	1	0.333333333	
ND00145	9019	ND04133	1	0.5	
ND00748	9019	ND04133	1	1	
ND00749	9019	ND04133	1	1	
ND00750	9019	ND04133	1	1	
ND00755	9019	ND04133	1	1	
ND00756	9019	ND04133	1	1	
ND00757	9019	ND04133	1	1	
RNFD00197	9019	ND04133	2	0.5	
RNFD00243	9019	ND04133	2	0.333333333	
RNFD00260	9019	ND04133	1	0.5	
RNFD00674	9019	ND04133	1	0.5	
RNFD00675	9019	ND04133	1	0.5	
RNFD00712	9019	ND04133	1	0.25	
RNFD00808	9019	ND04133	2	0.333333333	
RNFD00809	9019	ND04133	1	1	
RNFD00810	9019	ND04133	1	1	
RNFD00811	9019	ND04133	1	1	
RNFD00829	9019	ND04133	1	1	
RNFD00896	9019	ND04133	2	0.5	
RNFD00912	9019	ND04133	2	0.5	
RNFD00913	9019	ND04133	2	0.5	
RNFD00923	9019	ND04133	1	1	
RNFD00926	9019	ND04133	2	0.5	
RNFD00935	9019	ND04133	2	0.333333333	
RNFD01713	9019	ND04133	1	1	
RNFD01714	9019	ND04133	1	1	
RNFD02603	9019	ND04133	1	1	
RNFD02693	9019	ND04133	1	1	
RNFD02694	9019	ND04133	2	0.5	
RNFD02740	9019	ND04133	1	1	
RNFD02751	9019	ND04133	1	0.5	
ND00770	9032	ND04146	1	1	
RNFD02416	9032	ND04146	1	1	
ND00805	9064	ND04166	3	0.2	
ND00808	9064	ND04166	3	0.25	
RNFD00569	9064	ND04166	4	0.25	
ND00067	9070	ND04171	1	0.5	
None	9078	ND04178			
ND00782	9079	ND04179	1	1	
None	9081	ND04180			
None	9082	ND04181			
None	9097	ND04196			
ND00094	9132	ND04226	3	0.333333333	
ND00805	9134	ND04227	4	0.2	
ND00808	9134	ND04227	4	0.25	
RNFD00569	9134	ND04227	1	0.25	
None	9150	ND04238			
ND01691	9193	ND04256	1	1	
None	9201	ND04260			
ND00256	9207	ND04263	1	1	
RNFD02855	9207	ND04263	1	1	
None	9214	ND04268			
RNFD00904	9226	ND04276	1	1	
ND00820	9237	ND04282	1	1	
ND00825	9237	ND04282	1	1	
RNFD00579	9237	ND04282	1	1	
RNFD00586	9237	ND04282	1	1	
RNFD00588	9237	ND04282	1	1	
RNFD00596	9237	ND04282	1	1	
RNFD00841	9236	ND04282	1	1	
ND00834	9253	ND04296	1	1	
ND00836	9253	ND04296	1	1	
ND00805	9256	ND04299	2	0.2	
ND00808	9256	ND04299	2	0.25	
ND00837	9256	ND04299	1	1	
ND00838	9256	ND04299	1	1	
ND00839	9256	ND04299	1	1	
RNFD00569	9256	ND04299	2	0.25	
RNFD01043	9256	ND04299	1	1	
RNFD00908	9260	ND04303	1	0.5	
ND00094	9279	ND04322	2	0.333333333	
RNFD02409	9298	ND04339	1	1	
None	9328	ND04359			
ND00056	9050	ND04363	2	0.5	
ND00071	9050	ND04363	2	0.5	
RNFD00675	9050	ND04363	2	0.5	
ND00805	9354	ND04365	5	0.2	
ND00845	9354	ND04365	1	1	
RNFD00569	9354	ND04365	3	0.25	
RNFD00662	9354	ND04365	1	1	
RNFD00663	9354	ND04365	1	1	
RNFD00908	9266	ND04365	2	0.5	
RNFD00712	9357	ND04366	2	0.25	
RNFD00812	9357	ND04366	1	1	
RNFD02008	9357	ND04366	1	1	
ND00069	9021	ND04366	1	0.25	
ND00119	9021	ND04366	2	0.333333333	
RNFD00674	9021	ND04366	2	0.5	
ND00805	9370	ND04369	1	0.2	
ND00808	9370	ND04369	1	0.25	
ND00827	9370	ND04369	1	1	
ND00824	9237	ND04369	1	1	
RNFD00589	9374	ND04370	1	1	
ND00796	9383	ND04372	1	1	
ND00798	9383	ND04372	1	1	
ND00801	9383	ND04372	1	1	
None	9400	ND04373			
None	9438	ND04403			
None	9440	ND04405			
RNFD02118	10036	ND04469	1	1	
ND00977	10123	ND04548	1	1	
RNFD00003	10123	ND04548	1	1	
RNFD00345	10123	ND04548	1	1	
RNFD02271	10123	ND04548	1	1	
RNFD01199	10134	ND04554	1	1	
RNFD01200	10134	ND04554	1	1	
RNFD01203	10134	ND04554	1	1	
RNFD02626	10134	ND04554	1	1	
None	10153	ND04565			
None	10182	ND04585			
None	10183	ND04586			
None	10216	ND04615			
ND01012	10220	ND04619	1	1	
ND01013	10220	ND04619	1	1	
RNFD01035	10220	ND04619	1	1	
RNFD01291	10220	ND04619	1	1	
RNFD01295	10220	ND04619	1	1	
RNFD01297	10220	ND04619	1	1	
None	10222	ND04621			
None	10861	ND04643			
ND00968	10862	ND04644	1	1	
ND00976	10862	ND04644	1	1	
ND00987	10862	ND04644	1	1	
ND00988	10862	ND04644	1	1	
ND00989	10862	ND04644	1	1	
ND00993	10862	ND04644	1	1	
RNFD00401	10862	ND04644	1	1	
RNFD01220	10862	ND04644	1	1	
RNFD01365	10862	ND04644	1	1	
RNFD01811	10862	ND04644	1	1	
RNFD01813	10862	ND04644	1	1	
RNFD01821	10862	ND04644	1	1	
RNFD01822	10862	ND04644	1	1	
RNFD01846	10862	ND04644	1	1	
RNFD01860	10862	ND04644	1	1	
RNFD02274	10862	ND04644	1	1	
RNFD02411	10862	ND04644	1	1	
RNFD02774	10864	ND04646	1	1	
None	10925	ND04705			
RNFD02268	10972	ND04742	1	1	
RNFD01197	10973	ND04743	1	1	
None	10974	ND04744			
RNFD02769	10998	ND04765	1	1	
ND01615	11008	ND04772	1	1	
ND01668	11031	ND04788	1	1	
RNFD02010	11031	ND04788	1	1	
ND01646	11056	ND04806	1	1	
ND01649	11056	ND04806	1	1	
ND01651	11056	ND04806	1	1	
ND01652	11056	ND04806	1	1	
ND01654	11056	ND04806	1	1	
RNFD00552	11056	ND04806	1	1	
RNFD00843	11056	ND04806	1	1	
RNFD01087	11056	ND04806	1	1	
RNFD02034	11056	ND04806	1	1	
RNFD02061	11056	ND04806	1	1	
None	11080	ND04812			
None	11081	ND04813			
ND01750	11084	ND04815	1	1	
None	11093	ND04823			
None	11099	ND04828			
None	11101	ND04830			
ND01698	11128	ND04849	1	1	
