PRODUCTNDID	USDA ID	NDID FOR USDA PRODUCTS	WhatnumberofBP	%OFPRODUCT	
ND00111	20049	ND08314	2	0.5	
ND00131	20049	ND08314	2	0.5	
ND00133	20049	ND08314	2	0.5	
ND00141	20049	ND08314	2	0.5	
ND00149	20049	ND08314	3	0.333333333	
RNFD00888	20049	ND08314	1	0.5	
RNFD00891	20049	ND08314	2	0.5	
RNFD00948	20049	ND08314	2	0.5	
RNFD00953	20049	ND08314	2	0.5	
None	20083	ND08344			
ND00129	20089	ND08349	3	0.333333333	
None	20109	ND08367			
ND00914	20120	ND08377	1	1	
RNFD01709	20120	ND08377	1	1	
ND00138	20121	ND08378	1	0.5	
ND00143	20121	ND08378	2	0.5	
ND00152	20121	ND08378	2	0.5	
RNFD00174	20121	ND08378	2	0.5	
RNFD00824	20121	ND08378	1	0.5	
RNFD00941	20121	ND08378	2	0.5	
RNFD02738	20121	ND08378	2	0.5	
ND00913	20420	ND08417	1	1	
RNFD01708	20420	ND08417	1	1	
None	21059	ND08495			
ND01208	22978	ND08587	1	1	
ND01722	21247	ND08603	1	1	
RNFD00358	21256	ND08612	1	1	
RNFD00359	21256	ND08612	1	1	
None	21272	ND08627			
None	22901	ND08841			
None	22905	ND08844			
ND01416	22911	ND08848	1	1	
None	22919	ND08855			
None	22955	ND08879			
ND01043	23063	ND08962	1	1	
RNFD01736	23365	ND09251	1	1	
RNFD02637	23472	ND09356	1	1	
ND01042	23562	ND09399	1	1	
None	23570	ND09407			
None	23573	ND09409			
RNFD02071	23577	ND09412	1	1	
ND01511	25015	ND09502	1	1	
ND01380	27049	ND09573	1	1	
None	28177	ND09759			
RNFD02581	36037	ND10162	1	1	
ND10476	42063	ND10235	1	1	
ND10477	42063	ND10235	1	1	
RNFD00270	42063	ND10235	1	1	
RNFD00523	42231	ND10279	1	1	
RNFD02315	42231	ND10279	1	1	
ND00738	42289	ND10303	4	0.2	
RNFD00488	42289	ND10303	1	1	
None	42291	ND10305			
RNFD01409	43015	ND10316	1	1	
ND01603	43026	ND10322	1	1	
ND01614	43026	ND10322	1	1	
RNFD02284	43028	ND10323	1	1	
RNFD02285	43028	ND10323	1	1	
RNFD00717	43060	ND10328	1	1	
ND00722	43075	ND10329	1	1	
ND00723	43075	ND10329	1	1	
RNFD00156	43212	ND10353	1	1	
RNFD01653	16116	ND10353	1	1	
ND01373	43217	ND10357	1	1	
ND01384	43217	ND10357	1	1	
ND01386	43217	ND10357	1	1	
ND01387	43217	ND10357	1	1	
RNFD01985	43217	ND10357	1	1	
RNFD02170	43217	ND10357	1	1	
None	43275	ND10367			
None	43276	ND10368			
None	43382	ND10397			
RNFD01262	44061	ND10449	1	1	
None	44110	ND10451			
None	90240	ND10460			
None	14216	ND10479			
None	25071	ND10480			
None	13494	ND10481			
None	13498	ND10482			
ND00001	3023	ND10484	1	1	
ND00008	3023	ND10484	1	1	
RNFD00855	3023	ND10484	1	1	
ND00462	14171	ND10485	1	1	
ND00553	1286	ND10486	1	1	
ND00550	1285	ND10486	1	1	
ND00551	1285	ND10486	1	1	
ND00552	1285	ND10486	1	1	
ND00555	1285	ND10486	1	1	
ND00556	1285	ND10486	1	1	
ND00557	1285	ND10486	1	1	
ND00558	1285	ND10486	1	1	
ND00559	1285	ND10486	1	1	
ND00560	1285	ND10486	1	1	
ND00562	1285	ND10486	1	1	
ND00565	1285	ND10486	1	1	
RNFD02884	1285	ND10486	1	1	
ND00561	1286	ND10487	1	1	
ND00563	1286	ND10487	1	1	
ND10478	1286	ND10487	1	1	
RNFD02885	1286	ND10487	1	1	
ND00581	1297	ND10488	1	1	
ND00584	1293	ND10489	1	1	
ND00861	28397	ND10490	1	1	
ND01602	19030	ND10491	1	1	
RNFD00448	1287	ND10492	1	1	
RNFD00292	7977	ND10493	1	1	
RNFD00881	33878	ND10494	1	1	
RNFD01101	14278	ND10495	1	1	
RNFD02517	5327	ND10496	1	1	
RNFD02892	12012	ND10497	1	1	
None	43027	ND10849			
ND00717	RNFD02901	RNFD02901	3	0.2	
ND00718	RNFD02901	RNFD02901	3	0.333333333	
ND00719	RNFD02901	RNFD02901	3	0.2	
ND00738	RNFD02901	RNFD02901	3	0.2	
ND00744	RNFD02901	RNFD02901	1	1	
RNFD02731	RNFD02901	RNFD02901	1	1	
ND01598	No base product		1	1	
ND01822	No base product		1	1	
ND01823	No base product		1	1	
ND01824	No base product		1	1	
ND01825	No base product		1	1	
ND01832	No base product		1	1	
ND01833	No base product		1	1	
ND01834	No base product				
ND01836	No base product		1	1	
ND01872	No base product		1	1	
ND01873	No base product		1	1	
ND01874	No base product		1	1	
ND01875	No base product		1	1	
ND01877	No base product		1	1	
ND01878	No base product		1	1	
ND01879	No base product		1	1	
ND01882	No base product		1	1	
ND01883	No base product		1	1	
ND01884	No base product		1	1	
ND01885	No base product		1	1	
ND01886	No base product		1	1	
ND01888	No base product		1	1	
ND01889	No base product		1	1	
ND01890	No base product		1	1	
ND01891	No base product		1	1	
ND01893	No base product		1	1	
ND01905	No base product		1	1	
ND01906	No base product		1	1	
