"","Category","x"
"253","ND00645",1
"254","ND00647",1
"255","ND00648",1
"256","ND00649",1
"257","ND00650",1
"258","ND00651",1
"259","ND00652",1
"260","ND00668",1
"261","ND00670",1
"262","ND00671",1
"263","ND00672",1
"264","ND00673",1
"265","ND00674",1
"266","ND00675",1
"267","ND00678",1
"268","ND00680",1
"269","ND00682",1
"270","ND00683",1
"271","ND00685",1
"272","ND00686",1
"273","ND00693",1
"274","ND00694",1
"275","ND00695",1
"276","ND00696",1
"277","ND00697",1
"278","ND00707",1
"279","ND00708",1
"280","ND00709",1
"281","ND00710",1
"282","ND00711",1
"283","ND00716",1
"284","ND00717",1
"285","ND00718",0.999999999
"286","ND00719",1
"287","ND00721",1
"288","ND00722",1
"289","ND00723",1
"290","ND00728",1
"291","ND00733",1
"292","ND00734",1
"293","ND00735",1
"294","ND00737",1
"295","ND00738",1
"296","ND00740",1
"297","ND00741",1
"298","ND00742",1
"299","ND00744",1
"300","ND00746",1
"301","ND00748",1
"302","ND00749",1
"303","ND00750",1
"304","ND00755",1
"305","ND00756",1
"306","ND00757",1
"307","ND00770",1
"308","ND00778",1
"309","ND00782",1
"310","ND00783",1
"311","ND00787",1
"312","ND00796",1
"313","ND00798",1
"314","ND00801",1
"315","ND00805",1
"316","ND00808",1
"317","ND00820",1
"318","ND00824",1
"319","ND00825",1
"320","ND00827",1
"321","ND00834",1
"322","ND00836",1
"323","ND00837",1
"324","ND00838",1
"325","ND00839",1
"326","ND00845",1
"327","ND00853",1
"328","ND00855",1
"329","ND00859",1
"330","ND00860",1
"331","ND00861",1
"332","ND00869",1
"333","ND00870",1
"334","ND00875",1
"335","ND00878",1
"336","ND00889",1
"337","ND00913",1
"338","ND00914",1
"339","ND00916",1
"340","ND00917",1
"341","ND00919",1
"342","ND00920",1
"343","ND00926",1
"344","ND00932",1
"345","ND00933",1
"346","ND00935",1
"347","ND00937",1
"348","ND00940",1
"349","ND00941",1
"350","ND00942",1
"351","ND00948",1
"352","ND00950",1
"353","ND00951",0.999999999
"354","ND00968",1
"355","ND00976",1
"356","ND00977",1
"357","ND00987",1
"358","ND00988",1
"359","ND00989",1
"360","ND00993",1
"361","ND01012",1
"362","ND01013",1
"363","ND01020",1
"364","ND01023",1
"365","ND01027",1
"366","ND01030",1
"367","ND01042",1
"368","ND01043",1
"369","ND01044",1
"370","ND01045",1
"371","ND01047",1
"372","ND01064",1
"373","ND01065",1
"374","ND01071",1
"375","ND01072",1
"376","ND01073",1
"377","ND01079",1
"378","ND01081",1
"379","ND01091",1
"380","ND01092",1
"381","ND01102",1
"382","ND01109",1
"383","ND01111",1
"384","ND01112",1
"385","ND01116",1
"386","ND01118",1
"387","ND01121",1
"388","ND01127",1
"389","ND01129",1
"390","ND01130",1
"391","ND01131",1
"392","ND01132",1
"393","ND01137",1
"394","ND01138",1
"395","ND01139",1
"396","ND01141",1
"397","ND01146",1
"398","ND01150",1
"399","ND01156",1
"400","ND01164",1
"401","ND01166",1
"402","ND01175",1
"403","ND01177",1
"404","ND01182",1
"405","ND01186",1
"406","ND01187",1
"407","ND01194",1
"408","ND01200",1
"409","ND01203",1
"410","ND01205",1
"411","ND01206",1
"412","ND01208",1
"413","ND01214",1
"414","ND01218",1
"415","ND01220",1
"416","ND01228",1
"417","ND01234",1
"418","ND01235",1
"419","ND01250",1
"420","ND01251",1
"421","ND01254",1
"422","ND01257",1
"423","ND01258",1
"424","ND01260",1
"425","ND01262",1
"426","ND01264",1
"427","ND01266",1
"428","ND01267",1
"429","ND01268",1
"430","ND01269",1
"431","ND01274",1
"432","ND01276",1
"433","ND01280",1
"434","ND01284",1
"435","ND01286",1
"436","ND01291",1
"437","ND01292",1
"438","ND01293",1
"439","ND01295",1
"440","ND01297",1
"441","ND01298",1
"442","ND01299",1
"443","ND01301",1
"444","ND01303",1
"445","ND01306",1
"446","ND01315",1
"447","ND01324",1
"448","ND01329",1
"449","ND01332",1
"450","ND01345",1
"451","ND01346",1
"452","ND01350",1
"453","ND01351",1
"454","ND01352",1
"455","ND01356",1
"456","ND01358",1
"457","ND01359",1
"458","ND01360",1
"459","ND01361",1
"460","ND01364",1
"461","ND01365",1
"462","ND01373",1
"463","ND01374",1
"464","ND01378",1
"465","ND01379",1
"466","ND01380",1
"467","ND01383",1
"468","ND01384",1
"469","ND01386",1
"470","ND01387",1
"471","ND01389",1
"472","ND01390",1
"473","ND01391",1
"474","ND01397",1
"475","ND01399",1
"476","ND01402",1
"477","ND01404",1
"478","ND01410",1
"479","ND01416",1
"480","ND01419",1
"481","ND01423",1
"482","ND01426",1
"483","ND01432",1
"484","ND01436",1
"485","ND01440",1
"486","ND01441",1
"487","ND01450",1
"488","ND01451",1
"489","ND01452",1
"490","ND01459",1
"491","ND01462",1
"492","ND01465",1
"493","ND01470",0.999999999
"494","ND01472",1
"495","ND01479",1
"496","ND01506",1
"497","ND01511",1
"498","ND01516",1
"499","ND01522",1
"500","ND01523",1
"501","ND01524",1
"502","ND01529",1
"503","ND01534",1
"504","ND01535",1
"505","ND01541",1
"506","ND01542",1
"507","ND01545",1
"508","ND01547",1
"509","ND01548",1
"510","ND01549",1
"511","ND01552",1
"512","ND01553",1
"513","ND01557",1
"514","ND01559",1
"515","ND01561",1
"516","ND01563",1
"517","ND01564",1
"518","ND01566",1
"519","ND01569",1
"520","ND01570",1
"521","ND01572",1
"522","ND01574",1
"523","ND01575",1
"524","ND01576",1
"525","ND01577",1
"526","ND01580",1
"527","ND01583",1
"528","ND01588",1
"529","ND01596",1
"530","ND01598",1
"531","ND01601",1
"532","ND01602",1
"533","ND01603",1
"534","ND01611",1
"535","ND01613",1
"536","ND01614",1
"537","ND01615",1
"538","ND01617",1
"539","ND01618",1
"540","ND01623",1
"541","ND01625",1
"542","ND01628",1
"543","ND01629",1
"544","ND01630",1
"545","ND01631",1
"546","ND01646",1
"547","ND01649",1
"548","ND01651",1
"549","ND01652",1
"550","ND01654",1
"551","ND01657",1
"552","ND01668",1
"553","ND01670",1
"554","ND01671",1
"555","ND01672",1
"556","ND01676",1
"557","ND01681",1
"558","ND01684",1
"559","ND01686",1
"560","ND01687",1
"561","ND01691",1
"562","ND01698",1
"563","ND01699",1
"564","ND01700",1
"565","ND01703",1
"566","ND01704",1
"567","ND01706",1
"568","ND01711",1
"569","ND01713",1
"570","ND01714",1
"571","ND01717",1
"572","ND01718",1
"573","ND01719",1
"574","ND01722",1
"575","ND01726",1
"576","ND01727",1
"577","ND01728",1
"578","ND01730",1
"579","ND01731",1
"580","ND01732",1
"581","ND01750",1
"582","ND01757",1
"583","ND01762",1
"584","ND01766",1
"585","ND01772",1
"586","ND01779",1
"587","ND01780",1
"588","ND01783",1
"589","ND01793",1
"590","ND01796",1
"591","ND01822",1
"592","ND01823",1
"593","ND01824",1
"594","ND01825",1
"595","ND01826",1
"596","ND01827",1
"597","ND01828",1
"598","ND01832",1
"599","ND01833",1
"600","ND01834",NA
"601","ND01836",1
"602","ND01842",1
"603","ND01866",1
"604","ND01869",1
"605","ND01871",1
"606","ND01872",1
"607","ND01873",1
"608","ND01874",1
"609","ND01875",1
"610","ND01876",1
"611","ND01877",1
"612","ND01878",1
"613","ND01879",1
"614","ND01882",1
"615","ND01883",1
"616","ND01884",1
"617","ND01885",1
"618","ND01886",1
"619","ND01888",1
"620","ND01889",1
"621","ND01890",1
"622","ND01891",1
"623","ND01893",1
"624","ND01905",1
"625","ND01906",1
"626","ND01908",1
"627","ND01911",1
"628","ND01923",1
"629","ND01927",1
"630","ND01929",1
"631","ND01931",1
"632","ND10475",1
"633","ND10476",1
"634","ND10477",1
"635","ND10478",1
"636","None",NA
"637","RNFD00002",1
"638","RNFD00003",1
"639","RNFD00016",1
"640","RNFD00029",1
"641","RNFD00052",1
"642","RNFD00057",1
"643","RNFD00061",1
"644","RNFD00092",1
"645","RNFD00100",1
"646","RNFD00124",1
"647","RNFD00133",1
"648","RNFD00139",1
"649","RNFD00151",1
"650","RNFD00152",1
"651","RNFD00155",1
"652","RNFD00156",1
"653","RNFD00174",1
"654","RNFD00185",1
"655","RNFD00186",1
"656","RNFD00188",1
"657","RNFD00192",1
"658","RNFD00197",1
"659","RNFD00199",1
"660","RNFD00201",1
"661","RNFD00214",1
"662","RNFD00219",1
"663","RNFD00220",1
"664","RNFD00221",1
"665","RNFD00222",1
"666","RNFD00223",1
"667","RNFD00224",1
"668","RNFD00227",1
"669","RNFD00228",1
"670","RNFD00243",0.999999999
"671","RNFD00250",0.999999999
"672","RNFD00251",1
"673","RNFD00257",0.999999999
"674","RNFD00260",1
"675","RNFD00262",1
"676","RNFD00270",1
"677","RNFD00275",1
"678","RNFD00276",1
"679","RNFD00281",1
"680","RNFD00291",1
"681","RNFD00292",1
"682","RNFD00298",1
"683","RNFD00299",1
"684","RNFD00301",1
"685","RNFD00302",1
"686","RNFD00310",1
"687","RNFD00313",1
"688","RNFD00318",1
"689","RNFD00324",1
"690","RNFD00326",1
"691","RNFD00341",1
"692","RNFD00345",1
"693","RNFD00349",1
"694","RNFD00350",1
"695","RNFD00353",1
"696","RNFD00356",1
"697","RNFD00358",1
"698","RNFD00359",1
"699","RNFD00361",1
"700","RNFD00363",1
"701","RNFD00380",1
"702","RNFD00401",1
"703","RNFD00403",1
"704","RNFD00408",1
"705","RNFD00413",1
"706","RNFD00428",1
"707","RNFD00429",1
"708","RNFD00435",1
"709","RNFD00448",1
"710","RNFD00455",1
"711","RNFD00462",1
"712","RNFD00469",1
"713","RNFD00475",1
"714","RNFD00488",1
"715","RNFD00497",1
"716","RNFD00499",1
"717","RNFD00523",1
"718","RNFD00527",1
"719","RNFD00528",1
"720","RNFD00530",1
"721","RNFD00531",1
"722","RNFD00533",1
"723","RNFD00535",1
"724","RNFD00536",1
"725","RNFD00537",1
"726","RNFD00538",1
"727","RNFD00539",1
"728","RNFD00540",1
"729","RNFD00541",1
"730","RNFD00552",1
"731","RNFD00561",1
"732","RNFD00562",1
"733","RNFD00565",1
"734","RNFD00569",1
"735","RNFD00573",1
"736","RNFD00579",1
"737","RNFD00584",1
"738","RNFD00586",1
"739","RNFD00588",1
"740","RNFD00589",1
"741","RNFD00590",1
"742","RNFD00595",1
"743","RNFD00596",1
"744","RNFD00605",1
"745","RNFD00616",1
"746","RNFD00632",1
"747","RNFD00662",1
"748","RNFD00663",1
"749","RNFD00672",1
"750","RNFD00673",1
"751","RNFD00674",1
"752","RNFD00675",1
"753","RNFD00678",0.999999999
"754","RNFD00680",1
"755","RNFD00689",1
"756","RNFD00691",1
"757","RNFD00693",1
"758","RNFD00699",1
"759","RNFD00706",1
"760","RNFD00711",1
"761","RNFD00712",1
"762","RNFD00714",1
"763","RNFD00717",1
"764","RNFD00765",1
"765","RNFD00783",1
"766","RNFD00805",1
"767","RNFD00808",0.993333333
"768","RNFD00809",1
"769","RNFD00810",1
"770","RNFD00811",1
"771","RNFD00812",1
"772","RNFD00814",1
"773","RNFD00820",1
"774","RNFD00824",1
"775","RNFD00826",1
"776","RNFD00829",1
"777","RNFD00839",1
"778","RNFD00840",1
"779","RNFD00841",1
"780","RNFD00842",1
"781","RNFD00843",1
"782","RNFD00855",1
"783","RNFD00856",1
"784","RNFD00859",1
"785","RNFD00870",1
"786","RNFD00877",1
"787","RNFD00881",1
"788","RNFD00888",1
"789","RNFD00891",1
"790","RNFD00896",1
"791","RNFD00898",1
"792","RNFD00900",0.999999999
"793","RNFD00903",1
"794","RNFD00904",1
"795","RNFD00905",1
"796","RNFD00906",1
"797","RNFD00907",1
"798","RNFD00908",1
"799","RNFD00910",1
"800","RNFD00911",1
"801","RNFD00912",1
"802","RNFD00913",1
"803","RNFD00923",1
"804","RNFD00926",1
"805","RNFD00929",1
"806","RNFD00930",1
"807","RNFD00932",1
"808","RNFD00935",0.999999999
"809","RNFD00941",1
"810","RNFD00946",1
"811","RNFD00947",1
"812","RNFD00948",1
"813","RNFD00953",1
"814","RNFD00969",1
"815","RNFD00978",1
"816","RNFD00979",1
"817","RNFD00981",1
"818","RNFD01006",1
"819","RNFD01009",1
"820","RNFD01017",1
"821","RNFD01035",1
"822","RNFD01039",1
"823","RNFD01040",1
"824","RNFD01043",1
"825","RNFD01056",1
"826","RNFD01068",1
"827","RNFD01082",1
"828","RNFD01083",1
"829","RNFD01085",1
"830","RNFD01086",1
"831","RNFD01087",1
"832","RNFD01090",1
"833","RNFD01093",0.5
"834","RNFD01094",1
"835","RNFD01096",1
"836","RNFD01100",0.5
"837","RNFD01101",1
"838","RNFD01118",1
"839","RNFD01135",1
"840","RNFD01136",1
"841","RNFD01138",1
"842","RNFD01140",1
"843","RNFD01144",1
"844","RNFD01146",1
"845","RNFD01150",1
"846","RNFD01155",1
"847","RNFD01195",1
"848","RNFD01197",1
"849","RNFD01199",1
"850","RNFD01200",1
"851","RNFD01201",1
"852","RNFD01202",1
"853","RNFD01203",1
"854","RNFD01204",1
"855","RNFD01214",1
"856","RNFD01219",1
"857","RNFD01220",1
"858","RNFD01227",1
"859","RNFD01228",1
"860","RNFD01230",1
"861","RNFD01231",1
"862","RNFD01242",1
"863","RNFD01262",1
"864","RNFD01263",1
"865","RNFD01268",1
"866","RNFD01273",1
"867","RNFD01276",1
"868","RNFD01277",1
"869","RNFD01280",1
"870","RNFD01282",1
"871","RNFD01286",1
"872","RNFD01291",1
"873","RNFD01295",1
"874","RNFD01297",1
"875","RNFD01315",1
"876","RNFD01317",1
"877","RNFD01320",NA
"878","RNFD01325",1
"879","RNFD01330",1
"880","RNFD01334",1
"881","RNFD01335",1
"882","RNFD01365",1
"883","RNFD01409",1
"884","RNFD01434",1
"885","RNFD01436",1
"886","RNFD01437",1
"887","RNFD01486",1
"888","RNFD01489",NA
"889","RNFD01493",1
"890","RNFD01495",1
"891","RNFD01496",1
"892","RNFD01497",1
"893","RNFD01500",1
"894","RNFD01514",1
"895","RNFD01522",1
"896","RNFD01526",1
"897","RNFD01533",1
"898","RNFD01534",1
"899","RNFD01535",1
"900","RNFD01545",1
"901","RNFD01547",1
"902","RNFD01565",1
"903","RNFD01595",1
"904","RNFD01606",1
"905","RNFD01612",1
"906","RNFD01614",1
"907","RNFD01618",1
"908","RNFD01622",1
"909","RNFD01642",1
"910","RNFD01653",1
"911","RNFD01661",1
"912","RNFD01663",1
"913","RNFD01666",1
"914","RNFD01673",1
"915","RNFD01674",1
"916","RNFD01675",1
"917","RNFD01682",1
"918","RNFD01708",1
"919","RNFD01709",1
"920","RNFD01710",1
"921","RNFD01713",1
"922","RNFD01714",1
"923","RNFD01718",1
"924","RNFD01722",1
"925","RNFD01727",1
"926","RNFD01732",1
"927","RNFD01736",1
"928","RNFD01737",1
"929","RNFD01753",1
"930","RNFD01785",1
"931","RNFD01791",1
"932","RNFD01792",1
"933","RNFD01793",1
"934","RNFD01800",1
"935","RNFD01809",1
"936","RNFD01811",1
"937","RNFD01813",1
"938","RNFD01821",1
"939","RNFD01822",1
"940","RNFD01826",1
"941","RNFD01829",1
"942","RNFD01830",1
"943","RNFD01834",1
"944","RNFD01836",1
"945","RNFD01841",1
"946","RNFD01845",1
"947","RNFD01846",1
"948","RNFD01849",1
"949","RNFD01858",1
"950","RNFD01860",1
"951","RNFD01863",1
"952","RNFD01901",1
"953","RNFD01902",1
"954","RNFD01908",1
"955","RNFD01922",1
"956","RNFD01923",1
"957","RNFD01927",1
"958","RNFD01935",1
"959","RNFD01939",1
"960","RNFD01961",1
"961","RNFD01969",1
"962","RNFD01977",1
"963","RNFD01985",1
"964","RNFD02002",1
"965","RNFD02005",1
"966","RNFD02006",1
"967","RNFD02007",1
"968","RNFD02008",1
"969","RNFD02010",1
"970","RNFD02011",1
"971","RNFD02028",1
"972","RNFD02034",1
"973","RNFD02036",1
"974","RNFD02037",1
"975","RNFD02038",1
"976","RNFD02042",1
"977","RNFD02061",1
"978","RNFD02063",1
"979","RNFD02066",1
"980","RNFD02067",1
"981","RNFD02068",1
"982","RNFD02069",1
"983","RNFD02071",1
"984","RNFD02073",1
"985","RNFD02079",1
"986","RNFD02091",1
"987","RNFD02116",1
"988","RNFD02117",1
"989","RNFD02118",1
"990","RNFD02121",1
"991","RNFD02125",1
"992","RNFD02134",1
"993","RNFD02142",1
"994","RNFD02150",1
"995","RNFD02167",1
"996","RNFD02170",1
"997","RNFD02189",1
"998","RNFD02193",1
"999","RNFD02207",1
"1000","RNFD02208",1
"1001","RNFD02214",1
"1002","RNFD02215",1
"1003","RNFD02216",1
"1004","RNFD02223",1
"1005","RNFD02229",1
"1006","RNFD02250",1
"1007","RNFD02254",1
"1008","RNFD02257",0.999999999
"1009","RNFD02260",1
"1010","RNFD02261",1
"1011","RNFD02268",1
"1012","RNFD02271",1
"1013","RNFD02274",1
"1014","RNFD02284",1
"1015","RNFD02285",1
"1016","RNFD02286",1
"1017","RNFD02299",1
"1018","RNFD02300",1
"1019","RNFD02306",1
"1020","RNFD02310",1
"1021","RNFD02311",1
"1022","RNFD02312",1
"1023","RNFD02313",1
"1024","RNFD02315",1
"1025","RNFD02330",1
"1026","RNFD02336",1
"1027","RNFD02342",1
"1028","RNFD02344",1
"1029","RNFD02372",1
"1030","RNFD02377",1
"1031","RNFD02383",1
"1032","RNFD02384",1
"1033","RNFD02386",1
"1034","RNFD02387",1
"1035","RNFD02390",1
"1036","RNFD02393",1
"1037","RNFD02394",1
"1038","RNFD02399",1
"1039","RNFD02407",1
"1040","RNFD02409",1
"1041","RNFD02411",1
"1042","RNFD02416",1
"1043","RNFD02432",1
"1044","RNFD02442",1
"1045","RNFD02448",1
"1046","RNFD02455",1
"1047","RNFD02457",1
"1048","RNFD02473",1
"1049","RNFD02480",1
"1050","RNFD02485",1
"1051","RNFD02489",1
"1052","RNFD02490",1
"1053","RNFD02491",1
"1054","RNFD02496",1
"1055","RNFD02511",1
"1056","RNFD02517",1
"1057","RNFD02518",1
"1058","RNFD02519",1
"1059","RNFD02521",1
"1060","RNFD02522",1
"1061","RNFD02525",1
"1062","RNFD02526",1
"1063","RNFD02527",1
"1064","RNFD02529",1
"1065","RNFD02531",1
"1066","RNFD02533",1
"1067","RNFD02536",1
"1068","RNFD02538",1
"1069","RNFD02541",NA
"1070","RNFD02548",1
"1071","RNFD02549",1
"1072","RNFD02554",1
"1073","RNFD02575",1
"1074","RNFD02577",1
"1075","RNFD02580",1
"1076","RNFD02581",1
"1077","RNFD02583",1
"1078","RNFD02603",1
"1079","RNFD02623",1
"1080","RNFD02626",1
"1081","RNFD02635",1
"1082","RNFD02637",1
"1083","RNFD02649",1
"1084","RNFD02658",1
"1085","RNFD02659",1
"1086","RNFD02662",1
"1087","RNFD02693",1
"1088","RNFD02694",1
"1089","RNFD02695",0.999999999
"1090","RNFD02696",1
"1091","RNFD02698",1
"1092","RNFD02703",1
"1093","RNFD02704",1
"1094","RNFD02705",1
"1095","RNFD02706",1
"1096","RNFD02708",1
"1097","RNFD02710",1
"1098","RNFD02711",1
"1099","RNFD02712",1
"1100","RNFD02713",1
"1101","RNFD02714",1
"1102","RNFD02715",1
"1103","RNFD02716",1
"1104","RNFD02717",1
"1105","RNFD02718",1
"1106","RNFD02719",1
"1107","RNFD02720",1
"1108","RNFD02721",1
"1109","RNFD02722",1
"1110","RNFD02723",1
"1111","RNFD02724",NA
"1112","RNFD02725",NA
"1113","RNFD02726",1
"1114","RNFD02727",1
"1115","RNFD02728",1
"1116","RNFD02729",1
"1117","RNFD02730",1
"1118","RNFD02731",1
"1119","RNFD02732",1
"1120","RNFD02733",1
"1121","RNFD02734",1
"1122","RNFD02735",1
"1123","RNFD02736",1
"1124","RNFD02737",1
"1125","RNFD02738",1
"1126","RNFD02739",1
"1127","RNFD02740",1
"1128","RNFD02741",1
"1129","RNFD02742",0.999999999
"1130","RNFD02743",0.999999999
"1131","RNFD02744",1
"1132","RNFD02745",1
"1133","RNFD02746",0.999999999
"1134","RNFD02747",1
"1135","RNFD02748",1
"1136","RNFD02751",1
"1137","RNFD02752",1
"1138","RNFD02753",1
"1139","RNFD02754",NA
"1140","RNFD02755",NA
"1141","RNFD02756",NA
"1142","RNFD02757",1
"1143","RNFD02758",1
"1144","RNFD02759",1
"1145","RNFD02760",1
"1146","RNFD02761",1
"1147","RNFD02762",1
"1148","RNFD02763",1
"1149","RNFD02764",1
"1150","RNFD02765",1
"1151","RNFD02766",1
"1152","RNFD02767",1
"1153","RNFD02768",1
"1154","RNFD02769",1
"1155","RNFD02770",1
"1156","RNFD02771",1
"1157","RNFD02772",1
"1158","RNFD02773",1
"1159","RNFD02774",1
"1160","RNFD02775",1
"1161","RNFD02776",1
"1162","RNFD02777",1
"1163","RNFD02778",1
"1164","RNFD02779",1
"1165","RNFD02780",1
"1166","RNFD02781",1
"1167","RNFD02782",1
"1168","RNFD02783",1
"1169","RNFD02784",1
"1170","RNFD02785",1
"1171","RNFD02786",1
"1172","RNFD02787",1
"1173","RNFD02788",1
"1174","RNFD02789",1
"1175","RNFD02790",1
"1176","RNFD02791",1
"1177","RNFD02792",1
"1178","RNFD02793",1
"1179","RNFD02794",1
"1180","RNFD02795",1
"1181","RNFD02796",1
"1182","RNFD02797",1
"1183","RNFD02798",1
"1184","RNFD02799",1
"1185","RNFD02800",1
"1186","RNFD02801",1
"1187","RNFD02802",1
"1188","RNFD02803",1
"1189","RNFD02804",1
"1190","RNFD02805",1
"1191","RNFD02806",1
"1192","RNFD02807",1
"1193","RNFD02808",1
"1194","RNFD02809",1
"1195","RNFD02810",1
"1196","RNFD02811",1
"1197","RNFD02812",1
"1198","RNFD02813",1
"1199","RNFD02814",1
"1200","RNFD02815",1
"1201","RNFD02816",1
"1202","RNFD02817",1
"1203","RNFD02818",1
"1204","RNFD02819",1
"1205","RNFD02820",1
"1206","RNFD02823",1
"1207","RNFD02824",1
"1208","RNFD02825",1
"1209","RNFD02827",1
"1210","RNFD02828",1
"1211","RNFD02829",1
"1212","RNFD02830",1
"1213","RNFD02831",1
"1214","RNFD02832",1
"1215","RNFD02833",2
"1216","RNFD02834",1
"1217","RNFD02835",1
"1218","RNFD02837",1
"1219","RNFD02838",1
"1220","RNFD02839",1
"1221","RNFD02841",1
"1222","RNFD02842",1
"1223","RNFD02843",1
"1224","RNFD02844",1
"1225","RNFD02847",1
"1226","RNFD02849",1
"1227","RNFD02851",1
"1228","RNFD02853",1
"1229","RNFD02854",1
"1230","RNFD02855",1
"1231","RNFD02856",1
"1232","RNFD02857",1
"1233","RNFD02858",1
"1234","RNFD02859",1
"1235","RNFD02860",1
"1236","RNFD02862",1
"1237","RNFD02863",1
"1238","RNFD02864",1
