"","Category","x"
"1","",NA
"2"," Th sc",NA
"3","Lays regular potato chips ",NA
"4","Leader Calcium 500 mg + D 400 IU",NA
"5","ND00001",1
"6","ND00008",1
"7","ND00011",1
"8","ND00028",1
"9","ND00032",1
"10","ND00034",1
"11","ND00041",1
"12","ND00043",1
"13","ND00050",0.999999999
"14","ND00053",1
"15","ND00055",1
"16","ND00056",1
"17","ND00058",1
"18","ND00066",1
"19","ND00067",1
"20","ND00069",1
"21","ND00071",1
"22","ND00073",1
"23","ND00074",1
"24","ND00077",1
"25","ND00079",1
"26","ND00080",1
"27","ND00084",1
"28","ND00085",0.5
"29","ND00086",0.999999999
"30","ND00091",1
"31","ND00094",0.999999999
"32","ND00097",1
"33","ND00098",1
"34","ND00101",1
"35","ND00102",1
"36","ND00103",1
"37","ND00104",1
"38","ND00105",1
"39","ND00106",1
"40","ND00107",1
"41","ND00108",1
"42","ND00109",1
"43","ND00110",1
"44","ND00111",1
"45","ND00112",1
"46","ND00113",1
"47","ND00114",1
"48","ND00116",1
"49","ND00117",1
"50","ND00119",0.999999999
"51","ND00123",0.999999999
"52","ND00124",1
"53","ND00127",0.999999999
"54","ND00128",1
"55","ND00129",0.999999999
"56","ND00130",1
"57","ND00131",1
"58","ND00132",0.993333333
"59","ND00133",1
"60","ND00136",1
"61","ND00137",0.999999999
"62","ND00138",1
"63","ND00140",0.999999999
"64","ND00141",1
"65","ND00143",1
"66","ND00144",1
"67","ND00145",1
"68","ND00147",1
"69","ND00148",1
"70","ND00149",0.999999999
"71","ND00150",1
"72","ND00151",1
"73","ND00152",1
"74","ND00156",1
"75","ND00157",1
"76","ND00158",1
"77","ND00162",1
"78","ND00165",1
"79","ND00166",1
"80","ND00167",1
"81","ND00169",0.999999999
"82","ND00173",1
"83","ND00174",1
"84","ND00175",1
"85","ND00176",1
"86","ND00177",1
"87","ND00178",1
"88","ND00182",1
"89","ND00183",0.999999999
"90","ND00184",1
"91","ND00186",0.999999999
"92","ND00188",1
"93","ND00191",1
"94","ND00195",1
"95","ND00196",1
"96","ND00200",1
"97","ND00202",0.999999999
"98","ND00203",1
"99","ND00228",1
"100","ND00256",1
"101","ND00257",1
"102","ND00271",1
"103","ND00281",1
"104","ND00296",1
"105","ND00299",1
"106","ND00305",1
"107","ND00316",1
"108","ND00320",1
"109","ND00321",1
"110","ND00322",1
"111","ND00330",1
"112","ND00331",1
"113","ND00332",1
"114","ND00334",1
"115","ND00335",1
"116","ND00336",1
"117","ND00337",1
"118","ND00338",1
"119","ND00339",1
"120","ND00340",1
"121","ND00341",1
"122","ND00343",1
"123","ND00344",1
"124","ND00347",1
"125","ND00350",1
"126","ND00351",1
"127","ND00357",1
"128","ND00360",1
"129","ND00361",1
"130","ND00362",1
"131","ND00363",1
"132","ND00364",1
"133","ND00366",1
"134","ND00367",1
"135","ND00368",1
"136","ND00371",1
"137","ND00372",1
"138","ND00373",1
"139","ND00376",1
"140","ND00377",1
"141","ND00378",1
"142","ND00379",1
"143","ND00397",1
"144","ND00399",0.999999999
"145","ND00401",1
"146","ND00404",1
"147","ND00406",1
"148","ND00407",1
"149","ND00408",1
"150","ND00409",1
"151","ND00410",1
"152","ND00411",1
"153","ND00414",1
"154","ND00419",1
"155","ND00420",1
"156","ND00421",1
"157","ND00424",1
"158","ND00429",1
"159","ND00430",1
"160","ND00433",1
"161","ND00434",1
"162","ND00442",1
"163","ND00444",1
"164","ND00445",1
"165","ND00446",1
"166","ND00448",1
"167","ND00449",1
"168","ND00452",1
"169","ND00456",1
"170","ND00462",1
"171","ND00464",1
"172","ND00465",1
"173","ND00466",1
"174","ND00470",1
"175","ND00471",1
"176","ND00474",1
"177","ND00475",1
"178","ND00476",1
"179","ND00477",1
"180","ND00478",1
"181","ND00479",1
"182","ND00480",1
"183","ND00481",1
"184","ND00482",1
"185","ND00483",1
"186","ND00484",1
"187","ND00485",1
"188","ND00486",1
"189","ND00493",1
"190","ND00496",1
"191","ND00497",1
"192","ND00498",1
"193","ND00499",1
"194","ND00500",1
"195","ND00501",1
"196","ND00502",1
"197","ND00503",1
"198","ND00504",1
"199","ND00505",1
"200","ND00508",1
"201","ND00509",1
"202","ND00510",1
"203","ND00512",1
"204","ND00513",1
"205","ND00514",1
"206","ND00515",1
"207","ND00518",1
"208","ND00522",1
"209","ND00526",1
"210","ND00528",1
"211","ND00529",1
"212","ND00532",1
"213","ND00533",1
"214","ND00539",1
"215","ND00541",1
"216","ND00542",1
"217","ND00543",1
"218","ND00545",1
"219","ND00547",1
"220","ND00550",1
"221","ND00551",1
"222","ND00552",1
"223","ND00553",1
"224","ND00555",1
"225","ND00556",1
"226","ND00557",1
"227","ND00558",1
"228","ND00559",1
"229","ND00560",1
"230","ND00561",1
"231","ND00562",1
"232","ND00563",1
"233","ND00565",1
"234","ND00581",1
"235","ND00584",1
"236","ND00585",1
"237","ND00588",1
"238","ND00589",1
"239","ND00600",1
"240","ND00601",1
"241","ND00602",1
"242","ND00605",1
"243","ND00606",1
"244","ND00607",1
"245","ND00614",1
"246","ND00620",1
"247","ND00622",1
"248","ND00626",1
"249","ND00632",1
"250","ND00636",1
"251","ND00642",1
"252","ND00644",1
